TIPO_PRODUTO;NOME_PRODUTO;DATA_FINALIZACAO_PROCESSO;CATEGORIA_REGULATORIA;NUMERO_REGISTRO_PRODUTO;DATA_VENCIMENTO_REGISTRO;NUMERO_PROCESSO;CLASSE_TERAPEUTICA;EMPRESA_DETENTORA_REGISTRO;SITUACAO_REGISTRO;PRINCIPIO_ATIVO
"MEDICAMENTO";"CARBAMAZEPINA";"01/12/2025";"Genérico";170420019;"122035";"25351047432202591";"ANTICONVULSIVANTES";"18755529000180 - MCG INDUSTRIA FARMACEUTICA E IMPORTAÇAO LTDA";"Inativo";"carbamazepina"
"MEDICAMENTO";"CETOCONAZOL";"17/04/2000";"Similar";135480066;"072002";"2500100225184";"ANTIMICOTICOS SISTEMICOS";"64858525000145 - MONSANTO DO BRASIL LTDA";"Inativo";"cetoconazol"
"MEDICAMENTO";"CLORIDRATO DE CICLOBENZAPRINA";"10/03/2009";"Genérico";105730376;"032019";"25351445026200890";"RELAXANTES MUSCULARES";"60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A";"Inativo";"cloridrato de ciclobenzaprina"
"MEDICAMENTO";"DRIXI";"29/06/2009";"Similar";100930266;"062014";"25351257390200802";"ANTI-HISTAMINICOS SISTEMICOS";"33060740000172 - MANTECORP INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A.";"Inativo";"cloridrato de hidroxizina"
"MEDICAMENTO";"ENOMAGNO HORTELÃ";"08/12/2025";"BAIXO RISCO";;"122035";;;"30872270000404 - PF CONSUMER HEALTHCARE BRAZIL IMPORTADORA E DISTRIBUIDORA DE ME";"Inativo";
"MEDICAMENTO";"LUDIOMIL";"02/10/1998";"Novo";100680087;;"2599200342873";"ANTIDEPRESSIVOS";"56994502000130 - NOVARTIS BIOCIENCIAS S.A";"Inativo";"cloridrato de maprotilina"
"MEDICAMENTO";"NIMESULIDA";"26/11/2018";"Genérico";107140259;"112028";"25351625658201815";"ANTINFLAMATORIOS";"61068755000708 - SANVAL COMERCIO E INDUSTRIA LTDA";"Inativo";"nimesulida"
"MEDICAMENTO";"N?O DECLARADO";"04/02/2016";"DINAMIZADO";;"022026";;;"60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA";"Inativo";
"MEDICAMENTO";"PANAX GINSENG C.A. MEY.";"07/02/2002";"Fitoterápico";145330006;"022007";"253510013950117";"FITOTERAPICO SIMPLES";"03301976000192 - PMG  PHARMED GROUP DO BRASIL LTDA";"Inativo";
"MEDICAMENTO";"PNEUMOVAX™ 23";"16/06/1999";"Novo";100290022;"042029";"250000080069842";"VACINAS";"45987013000134 - ORGANON FARMACÊUTICA LTDA.";"Inativo";"polissacarídeo capsular de streptococcus pneumoniae sorotipo 1, polissacarídeo capsular de streptococcus pneumoniae sorotipo 2, polissacarídeo capsular de streptococcus pneumoniae sorotipo 3 , polissacarídeo capsular de streptococcus pneumoniae sorotipo 4 , polissacarídeo capsular de streptococcus pneumoniae sorotipo 5, polissacarídeo capsular de streptococcus pneumoniae soroti"
"MEDICAMENTO";"SAL DE ANDREWS";"31/12/1979";"Novo";101070128;"102029";"2500102051084";"ANTIACIDOS E ANTIULCEROSOS ASSOCIADOS";"33247743000110 - GLAXOSMITHKLINE BRASIL LTDA";"Inativo";"sulfato de magnésio"
"MEDICAMENTO";"TROMETAMOL CETOROLACO";"12/07/2001";"Genérico";102980281;"072036";"253510152730108";"ANTINFLAMATORIOS";"44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.";"Ativo";"trometamol cetorolaco "
"MEDICAMENTO";"TRUVADA";"14/05/2012";"Novo";125760021;"052022";"25351506803200995";"ANTIRETROVIRAL";"68949239000146 - UNITED MEDICAL LTDA";"Inativo";"entricitabina, fumarato de tenofovir desoproxila"
"MEDICAMENTO";"ALBENDAZOL";"13/01/2000";"Similar";100870047;"012005";"250000273409912";"ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL";"33034349000101 - QUIMIOTERAPICA BRASILEIRA LTDA";"Inativo";
"MEDICAMENTO";"AMOXICILINA + CLAVULONATO DE POTÁSSIO";"26/07/2002";"Genérico";100680880;"072007";"25351162943200246";"ANTIBIOTICOS SISTEMICOS SIMPLES";"56994502000130 - NOVARTIS BIOCIENCIAS S.A";"Inativo";"amoxicilina, clavulanato de potássio"
"MEDICAMENTO";"CLORIDRATO DE LIDOCAINA + NOREPINEFRINA";"31/05/2001";"Similar";108580227;"052006";"250000129929980";"ANESTESICOS LOCAIS";"51603488000182 - PRODOTTI LABORATÓRIO FARMACÊUTICO LTDA.";"Inativo";
"MEDICAMENTO";"N?O DECLARADO";"03/08/2010";"FITOTER?PICO";;;;;"11111111000191 - EMPRESA DE TESTE LTDA. (VS01)";"Ativo";
"MEDICAMENTO";"ÓLEO MINERAL LAPERLI";"31/05/2007";"BAIXO RISCO";;;;;"10791259000151 - LABORATÓRIO PERNAMBUCANO LTDA.";"Inativo";
"MEDICAMENTO";"SULFATO DE INDINAVIR (PORT. 344/98 LT C4)";"31/05/2000";"Similar";104650264;"052005";"250000339029802";"ANTIVIROTICOS (INIBE REPLICACAO VIROTICA)";"29785870000103 - LABORATÓRIO NEO QUÍMICA COMÉRCIO E INDÚSTRIA LTDA";"Inativo";
"MEDICAMENTO";"CLORIDRATO DE NARATRIPTANA";"14/09/2026";"Genérico";100431600;"092036";"25351367210202410";"ANALGESICOS CONTRA ENXAQUECA";"61190096000192 - EUROFARMA LABORATORIOS S.A.";"Ativo";"cloridrato de naratriptana"
"MEDICAMENTO";"GURGOL";"23/11/2010";;178170024;"042014";"25351637570200967";"ANTISSEPTICO";"61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.";"Inativo";"cloreto de cetilpiridínio"
"MEDICAMENTO";"IMOFLOX";"30/01/2012";"Similar";126750146;"012017";"25351283335201181";"ANTIBIOTICOS SISTEMICOS SIMPLES";"72593791000111 - NOVA QUIMICA FARMACÊUTICA S/A";"Inativo";"cloridrato de moxifloxacino"
"MEDICAMENTO";"N?O DECLARADO";"26/08/2015";"DINAMIZADO";;;;;"60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA";"Ativo";
"MEDICAMENTO";"PASTA D'ÁGUA";"16/12/2014";"BAIXO RISCO";;;;;"60879848000164 - LABORATORIO TAYUYNA LTDA";"Ativo";
"MEDICAMENTO";"PHARMOLATE";"15/12/2014";"BAIXO RISCO";;"122024";;;"03869526000109 - J.R.D. INDÚSTRIA FARMACÊUTICA LTDA.";"Inativo";
"MEDICAMENTO";"D MOB";"27/07/2026";"Biológico";100431590;"072036";"25351019885202528";"OUTROS PRODUTOS COM ACAO NO SISTEMA MUSCULO ESQUELETICO";"61190096000192 - EUROFARMA LABORATORIOS S.A.";"Ativo";"denosumabe"
"MEDICAMENTO";"DIFEN";"18/03/2001";"Novo";101470121;"042010";"2500100446686";"OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL";"43426626000177 - ALLERGAN PRODUTOS FARMACÊUTICOS LTDA";"Inativo";"pranoprofeno"
"MEDICAMENTO";"DROGA LINS";"22/02/2007";"BAIXO RISCO";;;;;"03395332000100 - ANCHIETA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA";"Inativo";
"MEDICAMENTO";"PARCEL";"28/06/2002";"Novo";100680086;"102014";"2599100423477";"ANALGESICOS CONTRA ENXAQUECA";"56994502000130 - NOVARTIS BIOCIENCIAS S.A";"Inativo";"mesilato de di-hidroergotamina, paracetamol, cafeína"
"MEDICAMENTO";"POLICLAVUMOXIL";"11/04/2016";"Similar";102351145;"042036";"25351521145201585";"ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS";"57507378000365 - EMS S/A";"Ativo";"amoxicilina tri-hidratada, clavulanato de potássio"
"MEDICAMENTO";"RENAPRIL";"19/06/2023";"Similar";103920227;"062033";"25351607612202292";"ANTI-HIPERTENSIVOS";"30222814000131 - VITAMEDIC INDUSTRIA FARMACEUTICA LTDA";"Ativo";"maleato de enalapril"
