SKU;Cod.Empresa;Empresa;Descripcion Minorista;RUBRO;Fecha Ult.Mov
7898687732993;90681;PP BC KOMPRAO NOVA ESPERANCA LJ206;DAMATERC/30 CAPS;SIN ASIGNAR(M);2023-08-05 00:00:00.0
7898149934514;90681;PP BC KOMPRAO NOVA ESPERANCA LJ206;CIPROTERONA BERGAMOC/20 CPR 50MG GEN;SIN ASIGNAR(M);2022-02-28 00:00:00.0
7898074617612;90681;PP BC KOMPRAO NOVA ESPERANCA LJ206;FLUIMUCILC/16 CPR EFERV 600MG;SIN ASIGNAR(M);2025-07-02 00:00:00.0
7898074613430;90681;PP BC KOMPRAO NOVA ESPERANCA LJ206;FLUIMUCILC/16 CPR EFERV 200MG;SIN ASIGNAR(M);2024-06-14 00:00:00.0
7898074611276;90681;PP BC KOMPRAO NOVA ESPERANCA LJ206;FLUIMUCILC/60 CPR EFERV 600MG;SIN ASIGNAR(M);2023-11-21 00:00:00.0
7897595635198;90681;PP BC KOMPRAO NOVA ESPERANCA LJ206;ACICLOVIR SANDOZC/50 CPR 200MG GEN;SIN ASIGNAR(M);2023-04-14 00:00:00.0
7897595604460;90681;PP BC KOMPRAO NOVA ESPERANCA LJ206;LECTRUM1,5ML PO LIOF+SOL DIL 3,75MG;SIN ASIGNAR(M);2023-02-27 00:00:00.0
7897595602503;90681;PP BC KOMPRAO NOVA ESPERANCA LJ206;HERPESILC/25 CPR 200MG;SIN ASIGNAR(M);2025-06-28 00:00:00.0
7897316802861;90681;PP BC KOMPRAO NOVA ESPERANCA LJ206;PRED MILD10ML COLI 0,12%;SIN ASIGNAR(M);2024-03-30 00:00:00.0
7897076909343;90681;PP BC KOMPRAO NOVA ESPERANCA LJ206;ACECLOFENACO RANBAXYC/24 CPR REV 100MG GEN;SIN ASIGNAR(M);2025-12-20 00:00:00.0
7896658001680;90681;PP BC KOMPRAO NOVA ESPERANCA LJ206;VITA E ACHEC/30 CAPS 400MG;SIN ASIGNAR(M);2025-03-26 00:00:00.0
7896523227092;90681;PP BC KOMPRAO NOVA ESPERANCA LJ206;ACECLOFENACO CIMEDC/12 CPR REV 100MG GEN;SIN ASIGNAR(M);2023-07-30 00:00:00.0
7896241265543;90681;PP BC KOMPRAO NOVA ESPERANCA LJ206;SUPREMAC/28 CPR REV 2+1MG;SIN ASIGNAR(M);2025-08-17 00:00:00.0
7896112400554;90681;PP BC KOMPRAO NOVA ESPERANCA LJ206;DTN-FOLC/90 CAPS 400MCG+10MG;SIN ASIGNAR(M);2024-04-11 00:00:00.0
7896094208506;90681;PP BC KOMPRAO NOVA ESPERANCA LJ206;NATIFA PRO UBDC/28 CPR REV 0,5+0,1MG;SIN ASIGNAR(M);2025-08-11 00:00:00.0
7896094201477;90681;PP BC KOMPRAO NOVA ESPERANCA LJ206;NATIFA PROC/28 CPR REV 1+0,5MG;SIN ASIGNAR(M);2025-08-23 00:00:00.0
7896006290667;90681;PP BC KOMPRAO NOVA ESPERANCA LJ206;STER MD10ML SUSP OFT 1,2MG/ML;SIN ASIGNAR(M);2025-05-27 00:00:00.0
7896006245339;90681;PP BC KOMPRAO NOVA ESPERANCA LJ206;DIAMOXC/30 CPR 250MG;SIN ASIGNAR(M);2025-08-26 00:00:00.0
7896006245322;90681;PP BC KOMPRAO NOVA ESPERANCA LJ206;DIAMOXC/25 CPR 250MG;SIN ASIGNAR(M);2023-05-11 00:00:00.0
7896006201731;90681;PP BC KOMPRAO NOVA ESPERANCA LJ206;PRIMOSISTONC/30 CPR 2+0,01MG;SIN ASIGNAR(M);2025-08-15 00:00:00.0
7896006201717;90681;PP BC KOMPRAO NOVA ESPERANCA LJ206;PRIMOLUT NOR 10C/30 CPR 10MG;SIN ASIGNAR(M);2025-07-09 00:00:00.0
7896004775043;90681;PP BC KOMPRAO NOVA ESPERANCA LJ206;ACICLOVIR EMSC/30 CPR 400MG GEN;SIN ASIGNAR(M);2023-07-16 00:00:00.0
7896004722122;90681;PP BC KOMPRAO NOVA ESPERANCA LJ206;ACECLOFENACO EMSC/12 CPR REV 100MG GEN;SIN ASIGNAR(M);2024-02-20 00:00:00.0
7891721202391;90681;PP BC KOMPRAO NOVA ESPERANCA LJ206;ACICLOVIR MERCKC/30 CPR 400MG GEN;SIN ASIGNAR(M);2025-08-16 00:00:00.0
7891721023484;90681;PP BC KOMPRAO NOVA ESPERANCA LJ206;ACICLOVIR MERCKC/30 CPR 400MG GEN;SIN ASIGNAR(M);2022-04-03 00:00:00.0
7891317411923;90681;PP BC KOMPRAO NOVA ESPERANCA LJ206;PROFLAMC/12 CPR REV 100MG;SIN ASIGNAR(M);2023-06-02 00:00:00.0
7891317020002;90681;PP BC KOMPRAO NOVA ESPERANCA LJ206;ACECLOFENACO EUROC/12 CPR REV 100MG GEN;SIN ASIGNAR(M);2025-07-14 00:00:00.0
7891317014773;90681;PP BC KOMPRAO NOVA ESPERANCA LJ206;EMAMAC/30 CAPS 400MG;SIN ASIGNAR(M);2025-06-13 00:00:00.0
7891317001513;90681;PP BC KOMPRAO NOVA ESPERANCA LJ206;ACICLOVIR EUROC/25 CPR 200MG GEN;SIN ASIGNAR(M);2025-08-27 00:00:00.0
7891268106213;90681;PP BC KOMPRAO NOVA ESPERANCA LJ206;PROVERAC/14 CPR 10MG;SIN ASIGNAR(M);2024-09-11 00:00:00.0
7891142128638;90681;PP BC KOMPRAO NOVA ESPERANCA LJ206;CELESTONE SOLUSPAN1ML SUSP INJ 3+3MG/ML;SIN ASIGNAR(M);2023-03-08 00:00:00.0
7891106000956;90681;PP BC KOMPRAO NOVA ESPERANCA LJ206;BAYCUTEN N40GR CR 10+0,4MG;SIN ASIGNAR(M);2025-08-17 00:00:00.0
7890282800015;90681;PP BC KOMPRAO NOVA ESPERANCA LJ206;ADEFORTE3ML SOL ORAL;SIN ASIGNAR(M);2023-09-28 00:00:00.0
5060632508508;90681;PP BC KOMPRAO NOVA ESPERANCA LJ206;SYSTEN CONTIC/8 ADES 50+170MCG/DIA;SIN ASIGNAR(M);2025-08-02 00:00:00.0
7898687732993;90688;PP ITAPEMA CASA BRANCA KOCHL;DAMATERC/30 CAPS;SIN ASIGNAR(M);2023-10-06 00:00:00.0
7898149934514;90688;PP ITAPEMA CASA BRANCA KOCHL;CIPROTERONA BERGAMOC/20 CPR 50MG GEN;SIN ASIGNAR(M);2025-07-29 00:00:00.0
7898149932183;90688;PP ITAPEMA CASA BRANCA KOCHL;FEMIGESTROLC/30 CPR 160MG;SIN ASIGNAR(M);2022-07-08 00:00:00.0
