Cod Interno	Codigo Barras	Descripcion	Contenido	UNIDADES	Est Mer 7 Descripcion	Marca	Fabricante	TOP_DESCRIPCION	MAX_DESCRIPCION	Dia de FECHA_ULT_CAMBIO	USUARIO_ULT_CAMBIO
	20791544	SUPL ALIM PRO VALE BIOTINA CAP 30UN	30	0	VITAMINA OUTRO	OUTRA MARCA	OUTRO FABRICANTE	PRO VALE BIOTINA BIOTINA 30 CAPS	PRO VALE BIOTINA BIOTINA 30 CAPS	24 de setembro de 2026	gabriel.morais@scanntech.com
	20811020	SUPL ALIM PRO BIOTINA CAPSULA 30UN	30	0	VITAMINA OUTRO	OUTRA MARCA	OUTRO FABRICANTE	PRO BIOTINA 10MG 30 CAPS	PRO CAP BIOTINA 10MG 30CAP	24 de setembro de 2026	gabriel.morais@scanntech.com
	22191052	SUPL ALIM VITAMINA INJETAVEL	1	0	VITAMINA OUTRO	OUTRA MARCA	OUTRO FABRICANTE	VITAMINA C INJETAVEL	VITAMINA C INJETAVEL	24 de setembro de 2026	gabriel.morais@scanntech.com
	30768000943	COENZIMA Q10 100MG X 40 CPR (NES)	40	1	VITAMINA OUTRO	COENZIMA Q10 NES	NESTLE CIA	COENZIMA Q10 SUNDOWNC/40 CPR SOFTGEL 100MG	Coenzima Q10 100mg Sundown Clean Nutrition Com 40 Cápsulas	17 de dezembro de 2025	apitel@scanntech.com
	30768000981	VITAMINA D3 400UI SUNDOWN FRASCO 100 CPRS	100	1	VITAMINA OUTRO	SUNDOWN NES	NESTLE CIA			16 de dezembro de 2025	jessica.evangelista@scanntech.com
	30768001896	MAGNESIO 250MG SUNDOWN 30 CPRS	30	1	VITAMINA OUTRO	SUNDOWN NES	NESTLE CIA	MAGNESIO SUNDOWN NATURALSC/30 CPR REV 250MG	MAGNESIO SUNDOWN NATURALSC/30 CPR REV 250MG	16 de dezembro de 2025	jessica.evangelista@scanntech.com
	30768002862	LETICINA DE SOJA 1200MG SUNDOWN FRASCO 100 CPRS	100	1	VITAMINA OUTRO	SUNDOWN NES	NESTLE CIA	LECITINA SOJA SUNDOWNC/100 CAPS 1200MG	Lecitina de Soja 1200mg com 100 Cápsulas	6 de maio de 2025	jessica.evangelista@scanntech.com
	30768005177	VITAMINA C 500MG SUNDOWN 100 TABLETES	100	1	VITAMINA OUTRO	SUNDOWN NES	NESTLE CIA	VIT C 500MG 100TAB SUNDOWN	VIT C 500MG 100TAB SUNDOWN	11 de junho de 2026	jessica.evangelista@scanntech.com
	30768017217	SUNDOWN 1000MG X 100 CPR (NES)	100	1	VITAMINA OUTRO	SUNDOWN NES	NESTLE CIA	VIT C SUNDOWNC/133 CPR 1000MG	VITAMINA C SUNDOWN 1000 MG VITA C C/ 100 CAP	17 de dezembro de 2025	apitel@scanntech.com
	30768019525	SUNDOWN 500MG X 100 CPR (NES)	100	1	VITAMINA OUTRO	SUNDOWN NES	NESTLE CIA	VIT C SUNDOWNC/100 CPR REV 500MG	SUNDOWN NATURALS VITAMINA C 500MG C/100 TAB ( UN )	17 de dezembro de 2025	apitel@scanntech.com
