EST_MER_6;MARCA;FABRICANTE
C10A PREPARADOS PARA REGULACAO COLESTEROL E TRIGLICERID;ATORVASTATINA 1FA;1FARMA
D01A ANTIMICOTICOS DERMATOLOGICOS;CETOCONAZOL 1FA;1FARMA
M03B RELAXANTES MUSCULARES ACAO CENTRAL;CLOR DE CICLOBENZAPRINA 1FA;1FARMA
A02B ANTIULCEROSOS;OMEPRAZOL 1FA;1FARMA
C10A PREPARADOS PARA REGULACAO COLESTEROL E TRIGLICERID;SINVASTATINA 1FA;1FARMA
A05A PRODUTOS PARA DISTURBIOS DO TRATO BILIAR;ALCACHOFRA 4EL;4 ELEMENTOS IND ALIM
R05B ANTIGRIPAIS C ANTIINFECCIOSOS;7 ABELHAS;7 ABELHAS
R05C EXPECTORANTES;ACETILCISTEINA A2F;A2F LABORATORIO
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;CERA MAIS;A2F LABORATORIO
R05C EXPECTORANTES;GEOTOSS A2F;A2F LABORATORIO
A12C OUTROS SUPLEMENTOS MINERAIS;GEOVIT;A2F LABORATORIO
R05C EXPECTORANTES;GEOVIT A2F;A2F LABORATORIO
A11G VITAMINA C INCLUSIVE ASSOCIADA A MINERAIS;GERA;A2F LABORATORIO
R05C EXPECTORANTES;GERA;A2F LABORATORIO
R05C EXPECTORANTES;GRA LABS A2F;A2F LABORATORIO
A12A CALCIO;IMUNEVITTA CALCIO;A2F LABORATORIO
A12C OUTROS SUPLEMENTOS MINERAIS;MENUTRI;A2F LABORATORIO
A07G REPOSITORES ELECTROLITICOS ORAIS;MENUTRI A2F;A2F LABORATORIO
H04X OUTRAS HORMONIOS E PREPARACAO COM ACOES SIMILARES;MENUTRI A2F;A2F LABORATORIO
R05B ANTIGRIPAIS C ANTIINFECCIOSOS;MENUTRI A2F;A2F LABORATORIO
R05C EXPECTORANTES;MENUTRI A2F;A2F LABORATORIO
A11G VITAMINA C INCLUSIVE ASSOCIADA A MINERAIS;PHD A2F;A2F LABORATORIO
R05C EXPECTORANTES;PHD A2F;A2F LABORATORIO
A12C OUTROS SUPLEMENTOS MINERAIS;VITA PREMIUM;A2F LABORATORIO
R05C EXPECTORANTES;VITOREX A2F;A2F LABORATORIO
A09A DIGESTIVOS INCLUIDO ENZIMAS;ABBOTT;ABBOTT
C05C TERAPIA VARICOSA SISTEMICA;ABBOTT;ABBOTT
G03F ASSOCIACOES DE ESTROGENOS E PROGESTOGENOS EXCETO G;ABBOTT;ABBOTT
J01G FLUOROQUINOLONAS;ABBOTT;ABBOTT
J07E VACINAS VIRAIS;ABBOTT;ABBOTT
N03A ANTICONVULSIVANTES;ABBOTT;ABBOTT
P01B ANTIHELMINTICOS EXCETO OS ESQUISTOSOMICIDAS;ABBOTT;ABBOTT
R05C EXPECTORANTES;ABBOTT;ABBOTT
N04A ANTIPARKINSONIANOS;AKINETON ABB;ABBOTT
A12C OUTROS SUPLEMENTOS MINERAIS;ALETAM ABB;ABBOTT
M01A ANTI REUMATICOS SEM ESTEROIDES;ALIVETORE ABB;ABBOTT
J01H PENICILINAS DE PEQUENO E MEDIO ESPECTRO;BENZETACIL ABB;ABBOTT
N07C OUTROS MEDICAMENTOS ANTIVERTIGINOSOS;BETASERC ABB;ABBOTT
A09A DIGESTIVOS INCLUIDO ENZIMAS;CREON ABB;ABBOTT
P03A ECTOPARASITICIDAS INCL ESCAB;DELTACID ABB;ABBOTT
N03A ANTICONVULSIVANTES;DEPAKENE ABB;ABBOTT
R05C EXPECTORANTES;DEPAKENE ABB;ABBOTT
N03A ANTICONVULSIVANTES;DEPAKOTE ABB;ABBOTT
N03A ANTICONVULSIVANTES;DEPAKOTE ER;ABBOTT
C08A ANTAGONISTAS DO CALCIO PUROS;DILACORON ABB;ABBOTT
N03A ANTICONVULSIVANTES;DIVALCON ABB;ABBOTT
N03A ANTICONVULSIVANTES;DIVALPROATO DE SODIO ABB;ABBOTT
A06A DROGAS PARA A CONSTIPACAO;DUPHALAC ABB;ABBOTT
G03D PROGESTOGENOS E ASSOCIACOES EXCLUINDO G3A G3F;DUPHASTON ABB;ABBOTT
C10B PREPARACOES ANTIATEROMA DE ORIGEM NATURAL;DUPLOSTAT ABB;ABBOTT
A03A ANTIESPASMODICOS E ANTICOLINERGICOS PUROS;DUSPATALIN ABB;ABBOTT
G03F ASSOCIACOES DE ESTROGENOS E PROGESTOGENOS EXCETO G;FEMOSTON ABB;ABBOTT
N06A A DEPRESSIVOS E REGUL DE HUMOR;FLUVOXAMINA ABB;ABBOTT
M01A ANTI REUMATICOS SEM ESTEROIDES;HIDROXIZINA ABB;ABBOTT
J07E VACINAS VIRAIS;INFLUVAC ABB;ABBOTT
D03A AGENTES CURATIVOS FERIDAS;IRUXOL ABB;ABBOTT
G01C ANTIBACTERIANOS GINECOLOGICOS;IRUXOL ABB;ABBOTT
J01F MACROLIDEOS E SIMILARES;KLARICID ABB;ABBOTT
C10A PREPARADOS PARA REGULACAO COLESTEROL E TRIGLICERID;LIPIDIL ABB;ABBOTT
G03A CONTRACEPTIVOS HORMONAIS SISTEMICOS;LIVANEL ABB;ABBOTT
C07A AGENTES BETA BLOQUEADORES PUROS;LOBEAT ABB;ABBOTT
