PRINCIPIO ATIVO;"TERMOS (todos precisam aparecer; | = sinonimo)";CATEGORIA;NOME OFICIAL DA CATEGORIA;BASE PEDE VALIDAR;DESTINO CORRIGIDO;OUTRAS CATEGORIAS NA BASE
Amicacina;AMICACINA;AMINOGLICOSIDEOS;J01K AMINOGLICOSIDEOS;;;
Estreptomicina;ESTREPTOMICINA;AMINOGLICOSIDEOS;J01K AMINOGLICOSIDEOS;SIM;;TODOS OUTROS ANTI BACTERIANOS
Gentamicina;GENTAMICINA;AMINOGLICOSIDEOS;J01K AMINOGLICOSIDEOS;;;
Tobramicina;TOBRAMICINA;AMINOGLICOSIDEOS;J01K AMINOGLICOSIDEOS;;;
Doripenem;DORIPENEM;PENEMOS E CARBAPENEMOS;J01P2 PENEMOS E CARBAPENEMOS;SIM;;
Ertapenem;ERTAPENEM;PENEMOS E CARBAPENEMOS;J01P2 PENEMOS E CARBAPENEMOS;SIM;;
Imipenem;IMIPENEM;PENEMOS E CARBAPENEMOS;J01P2 PENEMOS E CARBAPENEMOS;SIM;;
Meropenem;MEROPENEM;PENEMOS E CARBAPENEMOS;J01P2 PENEMOS E CARBAPENEMOS;SIM;;
Cefalexina;CEFALEXINA;CEFALOSPORINAS ORAIS;J01D1 CEFALOSPORINAS ORAIS;SIM;;
Cefepima;CEFEPIMA;CEFALOSPORINAS ORAIS;J01D1 CEFALOSPORINAS ORAIS;SIM;;
Ceftarolina;CEFTAROLINA;CEFALOSPORINAS ORAIS;J01D1 CEFALOSPORINAS ORAIS;SIM;;
Ceftriaxona;CEFTRIAXONA;CEFALOSPORINAS ORAIS;J01D1 CEFALOSPORINAS ORAIS;SIM;;
Cefuroxima;CEFUROXIMA;CEFALOSPORINAS ORAIS;J01D1 CEFALOSPORINAS ORAIS;SIM;;
Ciprofloxacino;CIPROFLOXACINO;FLUOROQUINOLONAS ORAIS;J01G1 FLUOROQUINOLONAS ORAIS;SIM;;
Levofloxacino;LEVOFLOXACINO;FLUOROQUINOLONAS ORAIS;J01G1 FLUOROQUINOLONAS ORAIS;SIM;;
Moxifloxacino;MOXIFLOXACINO;FLUOROQUINOLONAS ORAIS;J01G1 FLUOROQUINOLONAS ORAIS;SIM;;
Norfloxacino;NORFLOXACINO;FLUOROQUINOLONAS ORAIS;J01G1 FLUOROQUINOLONAS ORAIS;SIM;;
Teicoplanina;TEICOPLANINA;ANTI BACTERIANOS GLICOPEPTIDICOS;J01X1 ANTI BACTERIANOS GLICOPEPTIDICOS;SIM;;
Vancomicina;VANCOMICINA;ANTI BACTERIANOS GLICOPEPTIDICOS;J01X1 ANTI BACTERIANOS GLICOPEPTIDICOS;SIM;;
Clindamicina;CLINDAMICINA;TODOS OUTROS ANTI BACTERIANOS;J01X9 TODOS OUTROS ANTI BACTERIANOS;SIM;;
Lincomicina;LINCOMICINA;TODOS OUTROS ANTI BACTERIANOS;J01X9 TODOS OUTROS ANTI BACTERIANOS;SIM;;
Azitromicina;AZITROMICINA;MACROLIDEOS E SIMILARES;J01F MACROLIDEOS E SIMILARES;SIM;;
Claritromicina;CLARITROMICINA;MACROLIDEOS E SIMILARES;J01F MACROLIDEOS E SIMILARES;SIM;;
Eritromicina;ERITROMICINA;MACROLIDEOS E SIMILARES;J01F MACROLIDEOS E SIMILARES;SIM;;
Aztreonam;AZTREONAM;MONOBACTAMICOS;J01P1 MONOBACTAMICOS;SIM;;
Nitrofurantoína;NITROFURANTOINA;ANTIBACTERIANOS URINARIOS;G04A1 ANTIBACTERIANOS URINARIOS;SIM;;
Metronidazol;METRONIDAZOL;TODOS OUTROS ANTI BACTERIANOS;J01X9 TODOS OUTROS ANTI BACTERIANOS;SIM;;AMEBICIDAS
Secnidazol;SECNIDAZOL;TODOS OUTROS ANTI BACTERIANOS;J01X9 TODOS OUTROS ANTI BACTERIANOS;SIM;;
Tinidazol;TINIDAZOL;TODOS OUTROS ANTI BACTERIANOS;J01X9 TODOS OUTROS ANTI BACTERIANOS;SIM;;
Linezolida;LINEZOLIDA;TODOS OUTROS ANTI BACTERIANOS;J01X9 TODOS OUTROS ANTI BACTERIANOS;SIM;;
Tedizolida;TEDIZOLIDA;TODOS OUTROS ANTI BACTERIANOS;J01X9 TODOS OUTROS ANTI BACTERIANOS;SIM;;
Amoxicilina;AMOXICILINA;PENICILINAS DE AMPLO ESPECTRO ORAIS;J01C1 PENICILINAS DE AMPLO ESPECTRO ORAIS;SIM;;
Ampicilina;AMPICILINA;PENICILINAS DE AMPLO ESPECTRO ORAIS;J01C1 PENICILINAS DE AMPLO ESPECTRO ORAIS;SIM;;
Oxacilina;OXACILINA;PENICILINAS DE AMPLO ESPECTRO ORAIS;J01C1 PENICILINAS DE AMPLO ESPECTRO ORAIS;SIM;;
Penicilina G;PENICILINA G;PENICILINAS DE AMPLO ESPECTRO ORAIS;J01C1 PENICILINAS DE AMPLO ESPECTRO ORAIS;SIM;;
Penicilina V;PENICILINA V;PENICILINAS DE AMPLO ESPECTRO ORAIS;J01C1 PENICILINAS DE AMPLO ESPECTRO ORAIS;SIM;;
Piperacilina;PIPERACILINA;PENICILINAS DE AMPLO ESPECTRO ORAIS;J01C1 PENICILINAS DE AMPLO ESPECTRO ORAIS;SIM;;
Amoxicilina+Clavulanato;AMOXICILINA + CLAVULANATO;PENICILINAS DE AMPLO ESPECTRO ORAIS;J01C1 PENICILINAS DE AMPLO ESPECTRO ORAIS;SIM;;
Ampicilina+Sulbactam;AMPICILINA + SULBACTAM;PENICILINAS DE AMPLO ESPECTRO ORAIS;J01C1 PENICILINAS DE AMPLO ESPECTRO ORAIS;SIM;;
Piperacilina+Tazobactam;PIPERACILINA + TAZOBACTAM;PENICILINAS DE AMPLO ESPECTRO ORAIS;J01C1 PENICILINAS DE AMPLO ESPECTRO ORAIS;SIM;;
Colistina (Polimixina E);COLISTINA|POLIMIXINA E;TODOS OUTROS ANTI BACTERIANOS;J01X9 TODOS OUTROS ANTI BACTERIANOS;SIM;;
Polimixina B;POLIMIXINA B;TODOS OUTROS ANTI BACTERIANOS;J01X9 TODOS OUTROS ANTI BACTERIANOS;SIM;;
Sulfametoxazol+Trimetoprima (Cotrimoxazol);SULFAMETOXAZOL + TRIMETOPRIMA;ASSOCIACOES DE TRIMETOPRIM E SIMILARES;J01E ASSOCIACOES DE TRIMETOPRIM E SIMILARES;SIM;;
Doxiciclina;DOXICICLINA;TETRACICLINAS E ASSOCIACOES;J01A TETRACICLINAS E ASSOCIACOES;SIM;;
Minociclina;MINOCICLINA;TETRACICLINAS E ASSOCIACOES;J01A TETRACICLINAS E ASSOCIACOES;SIM;;
Tetraciclina;TETRACICLINA;TETRACICLINAS E ASSOCIACOES;J01A TETRACICLINAS E ASSOCIACOES;SIM;;
Tigeciclina;TIGECICLINA;TETRACICLINAS E ASSOCIACOES;J01A TETRACICLINAS E ASSOCIACOES;SIM;;
Terbinafina;TERBINAFINA;ANTIFUNGICOS DERMATOLOGICOS TOPICOS;D01A1 ANTIFUNGICOS DERMATOLOGICOS TOPICOS;SIM;;
Cetoconazol;CETOCONAZOL;AGENTES ANTIMICOTICOS SISTEMICOS EXCLUINDO GRISEOF;J02A AGENTES ANTIMICOTICOS SISTEMICOS EXCLUINDO GRISEOF;SIM;;
Fluconazol;FLUCONAZOL;AGENTES ANTIMICOTICOS SISTEMICOS EXCLUINDO GRISEOF;J02A AGENTES ANTIMICOTICOS SISTEMICOS EXCLUINDO GRISEOF;SIM;;
Itraconazol;ITRACONAZOL;AGENTES ANTIMICOTICOS SISTEMICOS EXCLUINDO GRISEOF;J02A AGENTES ANTIMICOTICOS SISTEMICOS EXCLUINDO GRISEOF;SIM;;
Posaconazol;POSACONAZOL;AGENTES ANTIMICOTICOS SISTEMICOS EXCLUINDO GRISEOF;J02A AGENTES ANTIMICOTICOS SISTEMICOS EXCLUINDO GRISEOF;SIM;;
Voriconazol;VORICONAZOL;AGENTES ANTIMICOTICOS SISTEMICOS EXCLUINDO GRISEOF;J02A AGENTES ANTIMICOTICOS SISTEMICOS EXCLUINDO GRISEOF;SIM;;
Anidulafungina;ANIDULAFUNGINA;AGENTES ANTIMICOTICOS SISTEMICOS EXCLUINDO GRISEOF;J02A AGENTES ANTIMICOTICOS SISTEMICOS EXCLUINDO GRISEOF;SIM;;
Caspofungina;CASPOFUNGINA;AGENTES ANTIMICOTICOS SISTEMICOS EXCLUINDO GRISEOF;J02A AGENTES ANTIMICOTICOS SISTEMICOS EXCLUINDO GRISEOF;SIM;;
Micafungina;MICAFUNGINA;AGENTES ANTIMICOTICOS SISTEMICOS EXCLUINDO GRISEOF;J02A AGENTES ANTIMICOTICOS SISTEMICOS EXCLUINDO GRISEOF;SIM;;
Anfotericina B;ANFOTERICINA B;AGENTES ANTIMICOTICOS SISTEMICOS EXCLUINDO GRISEOF;J02A AGENTES ANTIMICOTICOS SISTEMICOS EXCLUINDO GRISEOF;SIM;;
Nistatina;NISTATINA;AGENTES ANTIMICOTICOS SISTEMICOS EXCLUINDO GRISEOF;J02A AGENTES ANTIMICOTICOS SISTEMICOS EXCLUINDO GRISEOF;SIM;;
Albendazol;ALBENDAZOL;ANTIHELMINTICOS EXCETO OS ESQUISTOSOMICIDAS;P01B ANTIHELMINTICOS EXCETO OS ESQUISTOSOMICIDAS;SIM;;
