barcode;descriptions
7891000100011;"{""DIPIRONA SODICA 500MG C/10 CPR EMS""}"
7891000100028;"{""LOSARTANA POTASSICA 50MG 30 COMP""}"
7891000100035;"{""AMOXICILINA + CLAVULANATO DE POTASSIO 875MG 14CP""}"
7891000100042;"{""AMOXICILINA 500MG 21 CAPS""}"
7891000100059;"{""TIMOLOL 0,5% COLIRIO 5ML""}"
7891000100066;"{""IBUPROFENO 600MG 20 COMP""}"
7891000100073;"{""PARACETAMOL 750MG 20CP""}"
7891000100080;"{""CETOCONAZOL CREME 30G""}"
7891000100097;"{""CETOCONAZOL 200MG 10 COMP""}"
7891000100103;"{""VITAMINA D 2000UI 30 CAPS""}"
7891000100110;"{""SHAMPOO ANTICASPA CETOCONAZOL 100ML""}"
7891000100127;"{""BICARBONATO DE SODIO 80G KITANO""}"
7891000100134;"{""PROPRANOLOL 40MG 30 COMP""}"
7891000100141;"{""SINVASTATINA 20MG 30CP GENERICO""}"
7891000100158;"{""AMOXICILINA 250MG P/ CAES E GATOS 10 COMP""}"
7891000100165;"{""DORFLEX DIPIRONA 300MG 10 COMP""}"
7891000100172;"{""NEOSALDINA 30 DRG""}"
