barcode;descriptions;fabricante
7891000300011;"{""DIPIRONA SODICA 500MG C/10 CPR EMS""}";
7891000300028;"{""LOSARTANA POTASSICA 50MG 30 COMP GERMED""}";
7891000300035;"{""OMEPRAZOL 20MG 28 CAPS NEO QUIMICA""}";
7891000300042;"{""AMOXICILINA 500MG 21 CAPS EUROFARMA""}";
7891000300059;"{""SINVASTATINA 20MG 30CP MEDLEY""}";
7891000300066;"{""IBUPROFENO 600MG 20 COMP PRATI DONADUZZI""}";
7891000300073;"{""DORFLEX 10 COMP""}";
7891000300080;"{""PARACETAMOL 750MG 20CP TEU""}";
7891000300097;"{""CETOCONAZOL CREME 30G CIM""}";
7891000300103;"{""LOSARTANA POTASSICA 50MG 30 COMP EMS""}";SANOFI FARMACEUTICA
7891000300110;"{""PROPRANOLOL 40MG 30 COMP""}";CRISTALIA
