barcode;descriptions
78100000001;"{""VERZENIOS 50 MG COM REV CT BL AL AL X 30""}"
78100000002;"{""LOSARTANA POTASSICA 50 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 30""}"
78100000003;"{""OMEPRAZOL 20 MG CAP DURA LIB RETARD CT FR PLAS OPC X 28""}"
78100000004;"{""DIPIRONA MONOIDRATADA 500 MG/ML SOL OR CT FR GOT PLAS OPC X 20 ML""}"
78100000005;"{""AMOXICILINA 50 MG/ML PO SUS OR CT FR VD AMB X 150 ML""}"
78100000006;"{""PARACETAMOL 750 MG COM CT BL AL PLAS INC X 20""}"
78100000007;"{""NIMESULIDA 100 MG COM CT BL AL PLAS TRANS X 12""}"
78100000008;"{""ENO 5 G PO EFERV CT 30 ENV AL X 5 G""}"
78100000009;"{""CETOCONAZOL 20 MG/G CREM DERM CT BG AL X 30 G""}"
78100000010;"{""VITAMINA C 1 G COM EFERV CT TB PLAS X 10""}"
