VERZENIOS 50 MG COMP REV CT BL AL AL X 30    | L01H1 ANTINEOPLASICOS INIBIDORES D | VERZENIOS      | ELI LILLY        | 30UN | VERZENIOS REVESTIDO 50MG 30CPRS
LOSARTANA POTASSICA 50 MG COMP REV CT BL AL  | C09C ANTAGONISTAS DE LA ANGIOTENSI | LOSARTANA      | OUTRO FABRICANTE | 30UN | LOSARTANA POTASSICA REVESTIDO 50MG 30CPRS
OMEPRAZOL 20 MG CAP DURA LIB RETARD CT FR PL | A02B2 INIBIDORES DA BOMBA DE PROTO | OMEPRAZOL      | OUTRO FABRICANTE | 28UN | OMEPRAZOL LIBERACAO RETARD 20MG 28CAPS
DIPIRONA MONOIDRATADA 500 MG/ML SOL OR CT FR | N02B NAO NARCOTICOS ANTIPIRETICOS  | DIPIRONA       | OUTRO FABRICANTE | 20ML | DIPIRONA MONOHIDRATADA SOLUCAO ORAL GOTAS 500MG/ML 20ML
AMOXICILINA 50 MG/ML PO SUS OR CT FR VD AMB  | J01C1 PENICILINAS DE AMPLO ESPECTR | AMOXICILINA    | OUTRO FABRICANTE | 150ML | AMOXICILINA SUSPENSAO ORAL 50MG/ML 150ML
PARACETAMOL 750 MG COMP CT BL AL PLAS INC X  | N02B NAO NARCOTICOS ANTIPIRETICOS  | PARACETAMOL    | OUTRO FABRICANTE | 20UN | PARACETAMOL 750MG 20CPRS
NIMESULIDA 100 MG COMP CT BL AL PLAS TRANS X | ANTI REUMATICOS NAO ESTEROIDAIS PU | NIMESULIDA     | EMS PHARMA       | 12UN | NIMESULIDA 100MG 12CPRS
ENO 5 G PO EFERV CT 30 ENV AL X 5 G          | A02A4 ANTIACIDOS COM ANTIFISETICOS | ENO            | HALEON           | 5G | ENO EFERVESCENTE 5G
CETOCONAZOL 20 MG/G CREM DERM CT BG AL X 30  | D01A1 ANTIFUNGICOS DERMATOLOGICOS  | CETOCONAZOL    | OUTRO FABRICANTE | 30G | CETOCONAZOL CREME DERMATOLOGICO 20MG/G 30G
VITAMINA C 1 G COMP EFERV CT TB PLAS X 10    | VITAMINA OUTRO                     | OUTRA MARCA    | OUTRO FABRICANTE | 10UN | SUPL ALIM VITAMINA EFERVESCENTE 10CPRS
10 SKUs: 1UN 0, OUTRA CATEGORIA 0
