DAMATER CAP MOLE CT BL AL AL X 30            | A11A4 OUTROS POLIVIT COM MINERAIS  | DAMATER        | ALTHAIA          | 30UN | SUPL ALIM POLIV DAMATER 30CAPS
ACETATO DE CIPROTERONA 50 MG COMP CT BL AL P | L02B2 CITOSTATICOS ANTIANDROGENOS  | CIPROTERONA    | BERGAMO          | 20UN | CIPROTERONA ACETATO DE 50MG 20CPRS
FLUIMUCIL 600 MG COMP EFEV CT BL AL/AL X 16  | R05C EXPECTORANTES                 | FLUIMUCIL      | ZAMBON           | 16UN | FLUIMUCIL EFERVESCENTE 600MG 16CPRS
FLUIMUCIL 200 MG COMP EFEV CT BL AL/AL X 16  | R05C EXPECTORANTES                 | FLUIMUCIL      | ZAMBON           | 16UN | FLUIMUCIL EFERVESCENTE 200MG 16CPRS
FLUIMUCIL 600 MG COMP EFEV CT BL AL/AL X 60  | R05C EXPECTORANTES                 | FLUIMUCIL      | ZAMBON           | 60UN | FLUIMUCIL EFERVESCENTE 600MG 60CPRS
ACICLOVIR 200 MG COMP CT BL AL PLAS PP/PVDC  | J05B3 ANTIVIRAL PARA HERPES        | ACICLOVIR      | SANDOZ           | 50UN | ACICLOVIR 200MG 50CPRS
LECTRUM 3,75 MG PO LIOF SUS INJ CT FA VD TRA | L02A HORMONIOS CITOSTATICOS        | LECTRUM        | SANDOZ           | 1.5ML | LECTRUM LIOFILIZADO SUSPENSAO INJETAVEL AMPOLA 3.75MG 1.5ML
HERPESIL 200 MG COMP CT BL AL PLAS TRANS X 2 | J05B3 ANTIVIRAL PARA HERPES        | HERPESIL       | SANDOZ           | 25UN | HERPESIL 200MG 25CPRS
PRED 1,2 MG/ML SUS OC FR PLAS OPC GOT X 10 M | S01B CORTICOIDES                   | PRED           | ALLERGAN         | 10ML | PRED SUSPENSAO OCULAR GOTAS 1.2MG/ML 10ML
ACECLOFENACO 100 MG COMP REV CT STR AL X 24  | ANTI REUMATICOS NAO ESTEROIDAIS PU | ACECLOFENACO   | RANBAXY          | 24UN | ACECLOFENACO REVESTIDO 100MG 24CPRS
VITA E 400 MG CAP MOLE CT FR PLAS OPC X 30   | VITAMINA OUTRO                     | VITA E         | ACHE LABORATORIO | 30UN | SUPL ALIM VITA E 400MG 30CAPS
ACECLOFENACO 100 MG COMP REV CT BL AL AL X 1 | ANTI REUMATICOS NAO ESTEROIDAIS PU | ACECLOFENACO   | CIMED            | 12UN | ACECLOFENACO REVESTIDO 100MG 12CPRS
SUPREMA 2 MG + 1 MG COMP REV CT BL AL PLAS I | G03F ASSOCIACOES DE ESTROGENOS E P | SUPREMA        | BIOLAB           | 28UN | SUPREMA REVESTIDO 2MG+1MG 28CPRS
DTN-FOL 400 MCG + 10 MG CAP MOLE CT BL AL PL | B03X OUTROS ANTIANEMICOS INCLUINDO | DTN FOL        | BIOLAB           | 90UN | DTN FOL 400MCG+10MG 90CAPS
NATIFA PRO UBD (0,5 + 0,1) MG COMP REV CT BL | G03F ASSOCIACOES DE ESTROGENOS E P | NATIFA PRO UBD | LIBBS FARMACEUTI | 28UN | NATIFA PRO UBD REVESTIDO 0.5+0.1MG 28CPRS
NATIFA PRO 1 MG + 0,5 MG COMP REV CT BL AL P | G03F ASSOCIACOES DE ESTROGENOS E P | NATIFA PRO     | LIBBS FARMACEUTI | 28UN | NATIFA PRO REVESTIDO 1MG+0.5MG 28CPRS
STER 1,2 MG/ML SUS OFT CT FR GOT PLAS OPC X  | S01B CORTICOIDES                   | STER           | UNIAO QUIMICA    | 10ML | STER SUSPENSAO OFTALMICO GOTAS 1.2MG/ML 10ML
DIAMOX 250 MG COMP CT BL AL PLAS PVC/PVDC TR | SISTEMICOS                         | DIAMOX         | UNIAO QUIMICA    | 30UN | DIAMOX 250MG 30CPRS
DIAMOX 250 MG COMP CT FR VD AMB X 25         | SISTEMICOS                         | DIAMOX         | UNIAO QUIMICA    | 25UN | DIAMOX 250MG 25CPRS
PRIMOSISTON (2 + 0,01) MG COMP CT BL AL PLAS | G03F ASSOCIACOES DE ESTROGENOS E P | PRIMOSISTON    | UNIAO QUIMICA    | 30UN | PRIMOSISTON 2+0.01MG 30CPRS
PRIMOLUT-NOR 10 MG COMP CT BL AL PLAS TRANS  | G03D PROGESTOGENOS E ASSOCIACOES E | PRIMOLUT NOR   | UNIAO QUIMICA    | 30UN | PRIMOLUT NOR 10MG 30CPRS
ACICLOVIR 400 MG COMP CT BL AL PLAS PVDC OPC | J05B3 ANTIVIRAL PARA HERPES        | ACICLOVIR      | EMS PHARMA       | 30UN | ACICLOVIR 400MG 30CPRS
ACECLOFENACO 100 MG COMP REV CT BL AL AL X 1 | ANTI REUMATICOS NAO ESTEROIDAIS PU | ACECLOFENACO   | EMS PHARMA       | 12UN | ACECLOFENACO REVESTIDO 100MG 12CPRS
ACICLOVIR 400 MG COMP CT BL AL PLAS PVC/PVDC | J05B3 ANTIVIRAL PARA HERPES        | ACICLOVIR      | MERCK            | 30UN | ACICLOVIR 400MG 30CPRS
ACICLOVIR 400 MG COMP CT FR PLAS OPC X 30    | J05B3 ANTIVIRAL PARA HERPES        | ACICLOVIR      | MERCK            | 30UN | ACICLOVIR 400MG 30CPRS
PROFLAM 100 MG COMP REV CT BL AL/AL X 12     | ANTI REUMATICOS NAO ESTEROIDAIS PU | PROFLAM        | EUROFARMA        | 12UN | PROFLAM REVESTIDO 100MG 12CPRS
ACECLOFENACO 100 MG COMP REV CT BL AL/AL X 1 | ANTI REUMATICOS NAO ESTEROIDAIS PU | ACECLOFENACO   | EUROFARMA        | 12UN | ACECLOFENACO REVESTIDO 100MG 12CPRS
