barcode;descriptions
7898000000000;"{""FUNOK 10MG 30 COMP ""}"
7898000000001;"{""CIPROFLONAX 10MG 30 COMP ""}"
7898000000002;"{""KOLLAGENASE 10MG 30 COMP CRI""}"
7898000000003;"{""STELE 10MG 30 COMP BIO""}"
7898000000004;"{""APIARIODASERRA 10MG 30 COMP ""}"
7898000000005;"{""AZITROLAB 10MG 30 COMP ""}"
7898000000006;"{""OXCENE 10MG 30 COMP ""}"
7898000000007;"{""BIO INSTINTO 10MG 30 COMP ""}"
7898000000008;"{""HISAMITSU 10MG 30 COMP ""}"
7898000000009;"{""PROPOFOL 10MG 30 COMP ""}"
7898000000010;"{""ARTEMIDIS 10MG 30 COMP ""}"
7898000000011;"{""NOEX 10MG 30 COMP EUR""}"
7898000000012;"{""DERMAZON 10MG 30 COMP ""}"
7898000000013;"{""AMITIZA 10MG 30 COMP TKD""}"
7898000000014;"{""BESILATO DE ANLODIPINO 10MG 30 COMP CIM""}"
7898000000015;"{""LOZAN 10MG 30 COMP TEU""}"
7898000000016;"{""LIBRESSE 10MG 30 COMP ""}"
7898000000017;"{""AVERT 10MG 30 COMP AVR""}"
7898000000018;"{""DISP H 10MG 30 COMP ACH""}"
7898000000019;"{""BEXETON 10MG 30 COMP GEO""}"
7898000000020;"{""PERLATTE 10MG 30 COMP EUR""}"
7898000000021;"{""LISDEXANFETAMINA 10MG 30 COMP PHA""}"
7898000000022;"{""ARTROBEM 10MG 30 COMP ""}"
7898000000023;"{""PRAALERGIA 10MG 30 COMP CIM""}"
7898000000024;"{""CAPRELSA 10MG 30 COMP ""}"
7898000000025;"{""DEXANEURIN 10MG 30 COMP GEN""}"
7898000000026;"{""SERENATA 10MG 30 COMP ""}"
7898000000027;"{""SEDATIF 10MG 30 COMP BRN""}"
7898000000028;"{""PROPOLIGHT 10MG 30 COMP UFL""}"
7898000000029;"{""ASSERT 10MG 30 COMP EUR""}"
7898000000030;"{""PROCIMAX 10MG 30 COMP ""}"
7898000000031;"{""PROTENA 10MG 30 COMP ACH""}"
7898000000032;"{""LABEL 10MG 30 COMP ""}"
7898000000033;"{""APIROMA 10MG 30 COMP AFL""}"
7898000000034;"{""DEWS 10MG 30 COMP ""}"
7898000000035;"{""ANSITEC 10MG 30 COMP LIB""}"
7898000000036;"{""PIOTAZ 10MG 30 COMP GER""}"
7898000000037;"{""CEFADROXILA 10MG 30 COMP EMS""}"
7898000000038;"{""FASCIA 10MG 30 COMP ""}"
7898000000039;"{""LIDOCAINA 10MG 30 COMP NEO""}"
7898000000040;"{""CHAMEL 10MG 30 COMP ""}"
7898000000041;"{""PANTOPRAZOL 10MG 30 COMP SNF""}"
7898000000042;"{""CALCORT 10MG 30 COMP SNF""}"
7898000000043;"{""PREGABALINA 10MG 30 COMP ACH""}"
7898000000044;"{""FLORPLEX 10MG 30 COMP ""}"
7898000000045;"{""PLURIMEC 10MG 30 COMP ""}"
7898000000046;"{""TOBRACIN D 10MG 30 COMP ""}"
7898000000047;"{""CLOR DE TANSULOSINA 10MG 30 COMP SGM""}"
7898000000048;"{""BOTULIM 10MG 30 COMP BLA""}"
7898000000049;"{""PROMIM 10MG 30 COMP SPR""}"
7898000000050;"{""PREGABALINA 10MG 30 COMP EUR""}"
7898000000051;"{""SINUMED 10MG 30 COMP ALM""}"
7898000000052;"{""COAMA 10MG 30 COMP ""}"
7898000000053;"{""IBUPROFENO 10MG 30 COMP AIR""}"
7898000000054;"{""BIOSTEVI 10MG 30 COMP ""}"
7898000000055;"{""PEDILETAN 10MG 30 COMP CIM""}"
7898000000056;"{""VASCASE 10MG 30 COMP ROC""}"
7898000000057;"{""ATAK 10MG 30 COMP ""}"
7898000000058;"{""POSICOR 10MG 30 COMP SIN""}"
7898000000059;"{""ARTROFLAN 10MG 30 COMP MAN""}"
7898000000060;"{""SABOR E SAUDE 10MG 30 COMP ""}"
7898000000061;"{""DAIVONEX 10MG 30 COMP LEO""}"
7898000000062;"{""NEOTIAPIM 10MG 30 COMP ""}"
