7898000000000	FUNOK	J02A AGENTES ANTIMICOTICOS SISTEMICOS EXCLUINDO GRISEOF	EMS PHARMA
7898000000001	CIPROFLONAX	J01G FLUOROQUINOLONAS	BIOSINTETICA
7898000000002	KOLLAGENASE CRI	D03A AGENTES CURATIVOS FERIDAS	CRISTALIA
7898000000003	STELE BIO	G02F HORMONIOS SEXUAIS TOPICOS	UNIAO QUIMICA
7898000000004	APIARIODASERRA	R02A PREPARACOES PARA GARGANTA	APIARIO DA SERRA
7898000000005	AZITROLAB	J01F MACROLIDEOS E SIMILARES	EMS PHARMA
7898000000006	OXCENE	R03J ANTI ASMATICOS ANTAGONISTAS DE LEUCOTRIENE	ACHE LABORATORIOS FARMACEUTICOS SA
7898000000007	BIO INSTINTO	M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS	BIO INSTINTO
7898000000008	HISAMITSU	M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS	HISAMITSU
7898000000009	PROPOFOL	N01A ANESTESICOS GERAIS	TEUTO
7898000000010	ARTEMIDIS	D10B PREPARACOES ANTIACNE ORAIS	EMS PHARMA
7898000000011	NOEX EUR	M01A ANTI REUMATICOS SEM ESTEROIDES	EUROFARMA
7898000000012	DERMAZON	M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS	OUTRO FABRICANTE
7898000000013	AMITIZA TKD	A03G MODELADORES SENSOMOTORES GASTRO INTESTINAIS	TAKEDA PHARMA
7898000000014	BESILATO DE ANLODIPINO CIM	C08A ANTAGONISTAS DO CALCIO PUROS	CIMED
7898000000015	LOZAN TEU	J02A AGENTES ANTIMICOTICOS SISTEMICOS EXCLUINDO GRISEOF	TEUTO
7898000000016	LIBRESSE	M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS	GRUPO ESSITY
7898000000017	AVERT AVR	A03D ASSOCIACOES COM ANALGESICOS	AVERT
7898000000018	DISP H ACH	C05C TERAPIA VARICOSA SISTEMICA	ACHE LABORATORIOS FARMACEUTICOS SA
7898000000019	BEXETON GEO	H02A CORTICOSTEROIDES PUROS	GEOLAB
7898000000020	PERLATTE EUR	A09A DIGESTIVOS INCLUIDO ENZIMAS	EUROFARMA
7898000000021	LISDEXANFETAMINA PHA	N06B PSICOESTIMULANTES	PHARLAB
7898000000022	ARTROBEM	M05X OUTROS PRODUTOS SISTEMA MUSCULO ESQUELETICO	AROMA BEM ESTAR IND E COM DE PROD NATURAIS
7898000000023	PRAALERGIA CIM	R06A ANTIHISTAMINICOS SISTEMICOS	CIMED
7898000000024	CAPRELSA	L01H ANTINEOPLASICOS INIBIDORES DA PROTEINA QUINASE	SANOFI FARMACEUTICA
7898000000025	DEXANEURIN GEN	M01A ANTI REUMATICOS SEM ESTEROIDES	GENOM
7898000000026	SERENATA	N06A A DEPRESSIVOS E REGUL DE HUMOR	TORRENT
7898000000027	SEDATIF BRN	N05B HIPNOTICOS SEDATIVOS	BOIRON
7898000000028	PROPOLIGHT UFL	R02A PREPARACOES PARA GARGANTA	UNIFLORA NUTRACEUTICA
7898000000029	ASSERT EUR	N06A A DEPRESSIVOS E REGUL DE HUMOR	EUROFARMA
7898000000030	PROCIMAX	N06A A DEPRESSIVOS E REGUL DE HUMOR	LIBBS FARMACEUTICA
7898000000031	PROTENA ACH	A12C OUTROS SUPLEMENTOS MINERAIS	ACHE LABORATORIOS FARMACEUTICOS SA
7898000000032	LABEL	R05C EXPECTORANTES	ACHE LABORATORIOS FARMACEUTICOS SA
7898000000033	APIROMA AFL	R02A PREPARACOES PARA GARGANTA	APIS FLORA
7898000000034	DEWS	S01K PRODUTOS PARA OLHO SECO	UNIAO QUIMICA
7898000000035	ANSITEC LIB	N05C TRANQUILIZANTES	LIBBS FARMACEUTICA
7898000000036	PIOTAZ GER	A10K GLITAZONA A DIABETICOS	EMS PHARMA
7898000000037	CEFADROXILA EMS	J01D CEFALOSPORINAS	EMS PHARMA
7898000000038	FASCIA	A12C OUTROS SUPLEMENTOS MINERAIS	BIOLAB
7898000000039	LIDOCAINA NEO	N01B ANESTESICOS LOCAIS EXCLUINDO DERMATOLOGICOS	HYPERA PHARMA
7898000000040	CHAMEL	R02A PREPARACOES PARA GARGANTA	CHAMEL PROD NATURAIS
7898000000041	PANTOPRAZOL SNF	A02B ANTIULCEROSOS	SANOFI FARMACEUTICA
7898000000042	CALCORT SNF	H02A CORTICOSTEROIDES PUROS	SANOFI FARMACEUTICA
7898000000043	PREGABALINA ACH	N02D PROD GABAPENTINOIDES	ACHE LABORATORIOS FARMACEUTICOS SA
7898000000044	FLORPLEX	A07F MICROORGANISMOS ANTIDIARREICOS	AIRELA PHARMACEUTICA
7898000000045	PLURIMEC	P01B ANTIHELMINTICOS EXCETO OS ESQUISTOSOMICIDAS	BIOLAB
7898000000046	TOBRACIN D	S01C COMBINACOES DE ANTI INFLAMATORIOS OFTALMICOS E ANT	CRISTALIA
7898000000047	CLOR DE TANSULOSINA SGM	G04C PRODUTOS PARA HIPERPLASIA PROSTATICA BENIGNA HPB	EMS PHARMA
7898000000048	BOTULIM BLA	M03A RELAXANTES MUSCULARES DE ACAO PERIFERICA	BLAU FARMACEUTICA
7898000000049	PROMIM SPR	G02F HORMONIOS SEXUAIS TOPICOS	SUPERA
7898000000050	PREGABALINA EUR	N02D PROD GABAPENTINOIDES	EUROFARMA
7898000000051	SINUMED ALM	R01B DESCONGESTIONANTES NASAIS SISTEMICOS	ALMEIDA PRADO
7898000000052	COAMA	L01B ANTIMETABOLITOS	EMS PHARMA
7898000000053	IBUPROFENO AIR	N02B NAO NARCOTICOS ANTIPIRETICOS	AIRELA PHARMACEUTICA
7898000000054	BIOSTEVI	A05A PRODUTOS PARA DISTURBIOS DO TRATO BILIAR	BIOSTEVI PHARMA
7898000000055	PEDILETAN CIM	P03A ECTOPARASITICIDAS INCL ESCAB	CIMED
7898000000056	VASCASE ROC	C09C ANTAGONISTAS DE LA ANGIOTENSINA II PUROS	ROCHE
7898000000057	ATAK	J01C PENICILINAS DE AMPLO ESPECTRO	MOMENTA FARMA
7898000000058	POSICOR SIN	C10C REGUL DE LIPIDEOS EM COMB C OUT LIPIDOS REGUL	BIOLAB
7898000000059	ARTROFLAN MAN	M05X OUTROS PRODUTOS SISTEMA MUSCULO ESQUELETICO	HYPERA PHARMA
7898000000060	SABOR E SAUDE	A06A DROGAS PARA A CONSTIPACAO	OUTRO FABRICANTE
7898000000061	DAIVONEX LEO	D05A PRODUTOS ANTIPSORIASE TOPICOS	LEO PHARMA
7898000000062	NEOTIAPIM	N05A ANTIPSICOTICOS	MOKSHA8
7898000000063	TINIDAZOL PRD	G01A TRICOMONICIDAS	PRATI DONADUZZI
7898000000064	OSTE K2	A12A CALCIO	EMS PHARMA
7898000000065	LONIUM APS	A03A ANTIESPASMODICOS E ANTICOLINERGICOS PUROS	APSEN
7898000000066	FLUQUADRI	J07E VACINAS VIRAIS	SANOFI FARMACEUTICA
7898000000067	MINOXIDIL ACH	D11A OUTRAS PREPARACOES DERMATOLOGICAS INCL XAMPUS MED	ACHE LABORATORIOS FARMACEUTICOS SA
7898000000068	ZOUP SL SPR	N05B HIPNOTICOS SEDATIVOS	SUPERA
7898000000069	MELWENZEL HER	R05A ANTIGRIPAIS EXCLUINDO ANTINFECCIOSOS	HERBARIUM
7898000000070	HIDRASIM	A07G REPOSITORES ELECTROLITICOS ORAIS	MASSIME
7898000000071	FITO ERVAS	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	OUTRO FABRICANTE
7898000000072	DORILAX ACH	M03B RELAXANTES MUSCULARES ACAO CENTRAL	ACHE LABORATORIOS FARMACEUTICOS SA
7898000000073	CLOR DE SIBUTRAMINA EUR	A08A - PREPARADOS ANOREXICOS EXETO OS DIETETICOS	EUROFARMA
7898000000074	TYFLEN	M01A ANTI REUMATICOS SEM ESTEROIDES	BRASTERAPICA
7898000000075	DOLOMITA HEM	A12A CALCIO	HERBAMED
7898000000076	BENECTRIN LEG	J01E ASSOCIACOES DE TRIMETOPRIM E SIMILARES	EMS PHARMA
7898000000077	PREVIANE LEG	G03A CONTRACEPTIVOS HORMONAIS SISTEMICOS	EMS PHARMA
7898000000078	FITOSCAR	D03A AGENTES CURATIVOS FERIDAS	APSEN
7898000000079	OMEPRAZOL PRD	A02B ANTIULCEROSOS	PRATI DONADUZZI
7898000000080	NEORUB	R04A UNGUENTOS PERCUTANEOS E OUTROS INALANTES	ARTE NATIVA
7898000000081	GLUNAC	A10N INIBIDOR DPP IV	EMS PHARMA
7898000000082	VORTIOXETINA	N06A A DEPRESSIVOS E REGUL DE HUMOR	EMS PHARMA
7898000000083	MEFLAGIN	G01A TRICOMONICIDAS	EMS PHARMA
7898000000084	FABRAZYME SNF	A16A OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METAB	SANOFI FARMACEUTICA
7898000000085	RISPERIDONA BIO	N05A ANTIPSICOTICOS	BIOLAB
7898000000086	AZITROMICINA MED	J01F MACROLIDEOS E SIMILARES	MEDLEY
7898000000087	CALMADOR	M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS	OUTRO FABRICANTE
7898000000088	NOVANOITE MELATONI	N05B HIPNOTICOS SEDATIVOS	OPELLA
7898000000089	LIBRENE EXE	G03A CONTRACEPTIVOS HORMONAIS SISTEMICOS	EXELTIS
7898000000090	CLOR DE CICLOBENZAPRINA	M03B RELAXANTES MUSCULARES ACAO CENTRAL	EMS PHARMA
7898000000091	GLINK MET	A10N INIBIDOR DPP IV	LIBBS FARMACEUTICA
7898000000092	CITALOPRAM MED	N06A A DEPRESSIVOS E REGUL DE HUMOR	MEDLEY
7898000000093	NATZ KIDS	R05B ANTIGRIPAIS C ANTIINFECCIOSOS	RAIA DROGASIL SA
7898000000094	LIPFITE	C10A PREPARADOS PARA REGULACAO COLESTEROL E TRIGLICERID	LABORATORIO GLOBO
7898000000095	AMOXICILINA CLAVULANATO CEL	J01C PENICILINAS DE AMPLO ESPECTRO	CELLERA FARMA
7898000000096	TARGUS BAG	M01A ANTI REUMATICOS SEM ESTEROIDES	BAGO
7898000000097	BASAGLAR	A10C INSULINAS HUMANAS E ANALOGAS	ELI LILLY
7898000000098	PLAGEX TEU	A03F GASTROPROCINETICOS	TEUTO
7898000000099	PRESSOMED	C09A INIBIDORES ACE PUROS	MEDQUIMICA
7898000000100	FLUOCINOLONA ACET POLIMIXINA B NEOM LIDOC GEO	S02C ASSOCIACOES DE ANTINFECCIOSOS E CORTICOIDES	GEOLAB
7898000000101	GLICENIX GLO	A06A DROGAS PARA A CONSTIPACAO	LABORATORIO GLOBO
7898000000102	TRIPLIXAM	C09B INIBIDORES ACE COMBINADOS	SERVIER
7898000000103	HBACTER CIF	A02B ANTIULCEROSOS	CIFARMA
7898000000104	RASAGILINA	N04A ANTIPARKINSONIANOS	ZYDUS BRASIL
7898000000105	NEOTOSS NEO	R05D ANTITUSSIGENOS	HYPERA PHARMA
7898000000106	PROGRAF AST	L04X OUTROS IMUNOSSUPRESORES	ASTELLAS FARMA BRASIL
7898000000107	MESALAZINA PRD	A07E PRODUTOS PARA DOENCA INFLAMATORIA INTESTINAL	PRATI DONADUZZI
7898000000108	AUGEVIT	A11F VITAMINAS B12 PURA	CATARINENSE PHARMA
7898000000109	BIMATOPROSTA COLIRIO MED	S01E MIOTICOS E PRAPARADOS ANTIGLAUCOMA	MEDLEY
7898000000110	ENTOMAC INR	A02A ANTIACIDOS ANTIFISETICOS	ASSIFARMA
7898000000111	MOTILEX	A12C OUTROS SUPLEMENTOS MINERAIS	APSEN
7898000000112	TROMETAMOL CETOROLACO COLIRIO EMS	S01R ANTIINFLAMATORIOS OFTALMOLOGICOS NAO ESTEROIDES	EMS PHARMA
7898000000113	TADALAFILA PRD	G04E PRODUTOS PARA DISFUNCAO ERETIL	PRATI DONADUZZI
7898000000114	ATENOLOL VTM	C02A ANTIHIPERTENSIVOS NAO HERBACEOS PUROS	VITAMEDIC
7898000000115	ASEA HCT SPR	C09D ANTAGONISTAS DE LA ANGIOTENSINA II COMBINADOS	SUPERA
7898000000116	WARYZ CIM	B01A ANTICOAGULANTES NAO INJETAVEIS	CIMED
7898000000117	UMCKAN FRQ	R05C EXPECTORANTES	FARMOQUIMICA
7898000000118	FLUCISTEIN UNI	R05C EXPECTORANTES	UNIAO QUIMICA
7898000000119	SORINE ACH	R01A PREPARACOES NASAIS TOPICAS	ACHE LABORATORIOS FARMACEUTICOS SA
7898000000120	PROCTOGLOBO GLO	C05A ANTIHEMORROIDARIOS TOPICOS	LABORATORIO GLOBO
7898000000121	TIOTRAX EMS	G01A TRICOMONICIDAS	EMS PHARMA
7898000000122	MAXIDRATE	R01A PREPARACOES NASAIS TOPICAS	LIBBS FARMACEUTICA
7898000000123	EXJADE NOV	B03A HEMATINICOS FERRO E TODAS AS ASSOCIACOES	NOVARTIS
7898000000124	VENOVAZ	B01A ANTICOAGULANTES NAO INJETAVEIS	OUTRO FABRICANTE
7898000000125	ITRAX	J02A AGENTES ANTIMICOTICOS SISTEMICOS EXCLUINDO GRISEOF	HYPERA PHARMA
7898000000126	TARTARATO DE METOPROLOL BIO	C09C ANTAGONISTAS DE LA ANGIOTENSINA II PUROS	BIOLAB
7898000000127	GRUNENTHAL	G03A CONTRACEPTIVOS HORMONAIS SISTEMICOS	GRUNENTHAL
7898000000128	ALBENDAZOL GEO	P01B ANTIHELMINTICOS EXCETO OS ESQUISTOSOMICIDAS	GEOLAB
7898000000129	MICONASTIN PHA	G01B ANTIMICOTICOS GINECOLOGICOS	PHARLAB
7898000000130	HEMITARTARATO DE ZOLPIDEM EUR	N05B HIPNOTICOS SEDATIVOS	EUROFARMA
7898000000131	CLOR DE DORZOLAMIDA GEO	N07D PRODUTOS ANTI ALZHEIMER	GEOLAB
7898000000132	RIVAROXABANA ACH	B01F INIBIDOR DIRETO DO FATOR XA	ACHE LABORATORIOS FARMACEUTICOS SA
7898000000133	CALCIPLEX	A12A CALCIO	ECOFITUS
7898000000134	NEODIA NEO	G03A CONTRACEPTIVOS HORMONAIS SISTEMICOS	HYPERA PHARMA
7898000000135	ARTRITEC	M01A ANTI REUMATICOS SEM ESTEROIDES	PHARLAB
7898000000136	DESLORATADINA PHA	R06A ANTIHISTAMINICOS SISTEMICOS	PHARLAB
7898000000137	EZONIA	N05B HIPNOTICOS SEDATIVOS	EUROFARMA
7898000000138	CARVEDILOL GER	C07A AGENTES BETA BLOQUEADORES PUROS	EMS PHARMA
7898000000139	DORFEBRIL	N02B NAO NARCOTICOS ANTIPIRETICOS	HYPERA PHARMA
7898000000140	LACIPIL GSK	C08A ANTAGONISTAS DO CALCIO PUROS	GSK
7898000000141	KAOSEC PHC	A07H INIBIDORES DA MOTILIDADE	PHARMASCIENCE
7898000000142	NEOTIAPIM MOK	N05A ANTIPSICOTICOS	MOKSHA8
7898000000143	BELPELE FRQ	D10A PREPARACOES ANTIACNE TOPICOS	FARMOQUIMICA
7898000000144	CLOR DE CIPROFLOXACINO MED	J01G FLUOROQUINOLONAS	MEDLEY
7898000000145	MEGA CALCIO ARO	A12A CALCIO	AROMA BEM ESTAR IND E COM DE PROD NATURAIS
7898000000146	LACTULAXY AIR	A06A DROGAS PARA A CONSTIPACAO	AIRELA PHARMACEUTICA
7898000000147	PEPTULAN	A02B ANTIULCEROSOS	HYPERA PHARMA
7898000000148	ESPASMOPAN COMPOSTO	A03D ASSOCIACOES COM ANALGESICOS	UNIAO QUIMICA
7898000000149	CELLCEPT	L04X OUTROS IMUNOSSUPRESORES	ROCHE
7898000000150	LORAZEPAN TEU	N05C TRANQUILIZANTES	TEUTO
7898000000151	PERFER NEO	B03A HEMATINICOS FERRO E TODAS AS ASSOCIACOES	HYPERA PHARMA
7898000000152	ESPIRONOLACTONA GER	C03A DIURETICOS	EMS PHARMA
7898000000153	VAGI C MAR	G02X OTROS PRODUTOS GINECOLOGICOS	MARJAN FARMA
7898000000154	LEVOFLOXACINO GEO	J01G FLUOROQUINOLONAS	GEOLAB
7898000000155	HERVAS BRASIL HRB	R05C EXPECTORANTES	HERVAS BRASIL
7898000000156	TOBRAMICINA LEG	S01A ANTINFECCIOSOS	EMS PHARMA
7898000000157	INIPARET SDZ	A02B ANTIULCEROSOS	SANDOZ
7898000000158	DICLORIDRATO DE TRIMETAZIDIN NEO	C01D TERAPIA CORONARIA EXCLUINDO ANTAGONISTAS DO CALCIO	HYPERA PHARMA
7898000000159	CIPROFLONAX BIS	J01G FLUOROQUINOLONAS	BIOSINTETICA
7898000000160	BENETOSSE HYP	R05C EXPECTORANTES	HYPERA PHARMA
7898000000161	CLOR DE ONDANSETRONA GER	A04A ANTIEMETICOS E ANTINAUSEOSOS	EMS PHARMA
7898000000162	CIPROTERONA CIF	D10B PREPARACOES ANTIACNE ORAIS	CIFARMA
7898000000163	DIFFUCAP DIF	C08B ANTAGONISTAS DO CALCIO ASSOCIADOS	DIFFUCAP CHEMOBRAS QUIMICA
7898000000164	SULPH PRD	D06A ANTIBACTERIANOS TOPICOS	PRATI DONADUZZI
7898000000165	DIGLUSS GLO	A10N INIBIDOR DPP IV	LABORATORIO GLOBO
7898000000166	ACIDOGEL	A02A ANTIACIDOS ANTIFISETICOS	LABORATORIO GLOBO
7898000000167	NASALEZE	R01A PREPARACOES NASAIS TOPICAS	HYPERA PHARMA
7898000000168	PYRITZINNOBER WEL	R05A ANTIGRIPAIS EXCLUINDO ANTINFECCIOSOS	WELEDA
7898000000169	CLOR DE TRAMADOL PARACETAMOL EUR	N02A ANALGESICOS NARCOTICOS	EUROFARMA
7898000000170	ELIGARD ADI	L02A HORMONIOS CITOSTATICOS	ADIUM
7898000000171	EUCIL	A03F GASTROPROCINETICOS	HYPERA PHARMA
7898000000172	ACEBROFILINA NVQ	R05C EXPECTORANTES	EMS PHARMA
7898000000173	CICLOBENZAPRINA CIM	M03B RELAXANTES MUSCULARES ACAO CENTRAL	CIMED
7898000000174	LIDOCAINA CRI	N01B ANESTESICOS LOCAIS EXCLUINDO DERMATOLOGICOS	CRISTALIA
7898000000175	OXALATO DE ESCITALOPRAM BIS	N06A A DEPRESSIVOS E REGUL DE HUMOR	BIOSINTETICA
7898000000176	HYDRASTIS VID	R01A PREPARACOES NASAIS TOPICAS	VIDORA
7898000000177	RISPERIDONA SDZ	N05A ANTIPSICOTICOS	SANDOZ
7898000000178	PRAMIPEXOL SDZ	N06A A DEPRESSIVOS E REGUL DE HUMOR	SANDOZ
7898000000179	FORHELTH	R05C EXPECTORANTES	FORHELTH NUTRICIONAL EIRELI
7898000000180	CAPY EMS	D11A OUTRAS PREPARACOES DERMATOLOGICAS INCL XAMPUS MED	EMS PHARMA
7898000000181	TRAVOPTIC	S01E MIOTICOS E PRAPARADOS ANTIGLAUCOMA	GEOLAB
7898000000182	NUTRIFY	A12C OUTROS SUPLEMENTOS MINERAIS	INTEGRALMEDICA
7898000000183	RUBENTI ABB	A03A ANTIESPASMODICOS E ANTICOLINERGICOS PUROS	ABBOTT
7898000000184	SUCCINATO DE SOLIFENACINA NVQ	C06B PRODUTOS PARA HIPERTENSAO ARTERIAL PULMONAR	EMS PHARMA
7898000000185	THERAPI	A01A ESTOMATOLOGICOS	THERAPI
7898000000186	ARESE	N02A ANALGESICOS NARCOTICOS	ARESE PHARMA LTDA.
7898000000187	MESIGYNA BAY	G03A CONTRACEPTIVOS HORMONAIS SISTEMICOS	BAYER
7898000000188	TININ GEO	G01A TRICOMONICIDAS	GEOLAB
7898000000189	PLASMOVE	C05C TERAPIA VARICOSA SISTEMICA	OUTRO FABRICANTE
7898000000190	KETALGI	M01A ANTI REUMATICOS SEM ESTEROIDES	SUPERA
7898000000191	LACLAZE ASS	A09A DIGESTIVOS INCLUIDO ENZIMAS	ASSIFARMA
7898000000192	LACRIBELL CRI	S01X OUTROS OFTALMOLOGICOS	CRISTALIA
7898000000193	KNORTEX MUL	D07B ASSOCIACOES DE CORTICOIDES	EMS PHARMA
