STELE BIO                      | esp. G02F HORMONIOS SEXUAIS TOPICOS           | app G03C ESTROGENOS E ASSOCIACOES EXCETO G03A G03E G03F
BIO INSTINTO                   | esp. M02A ANTIREUMATICOS TOPICOS COM ANALGESI | app OUTRA CATEGORIA
HISAMITSU                      | esp. M02A ANTIREUMATICOS TOPICOS COM ANALGESI | app OUTRA CATEGORIA
NOEX EUR                       | esp. M01A ANTI REUMATICOS SEM ESTEROIDES      | app R01A1 CORTICOIDES NASAIS SEM ANTIINFECCIOSOS
AMITIZA TKD                    | esp. A03G MODELADORES SENSOMOTORES GASTRO INT | app A06A9 OUTRAS DROGAS PARA A CONSTIPACAO
LIBRESSE                       | esp. M02A ANTIREUMATICOS TOPICOS COM ANALGESI | app OUTRA CATEGORIA
AVERT AVR                      | esp. A03D ASSOCIACOES COM ANALGESICOS         | app OUTRA CATEGORIA
DEXANEURIN GEN                 | esp. M01A ANTI REUMATICOS SEM ESTEROIDES      | app M01B ANTI REUMATICOS ASSOCIADOS COM CORTICOSTEROIDES
SERENATA                       | esp. N06A A DEPRESSIVOS E REGUL DE HUMOR      | app CHOCOLATE BOMBOM
PROTENA ACH                    | esp. A12C OUTROS SUPLEMENTOS MINERAIS         | app VITAMINA OUTRO
LABEL                          | esp. R05C EXPECTORANTES                       | app A02B1 ANTAGONISTAS H2
FASCIA                         | esp. A12C OUTROS SUPLEMENTOS MINERAIS         | app VITAMINA OUTRO
CHAMEL                         | esp. R02A PREPARACOES PARA GARGANTA           | app OUTRA CATEGORIA
PROMIM SPR                     | esp. G02F HORMONIOS SEXUAIS TOPICOS           | app G03C ESTROGENOS E ASSOCIACOES EXCETO G03A G03E G03F
IBUPROFENO AIR                 | esp. N02B NAO NARCOTICOS ANTIPIRETICOS        | app M01A1 ANTI REUMATICOS NAO ESTEROIDAIS PUROS
BIOSTEVI                       | esp. A05A PRODUTOS PARA DISTURBIOS DO TRATO B | app OUTRA CATEGORIA
VASCASE ROC                    | esp. C09C ANTAGONISTAS DE LA ANGIOTENSINA II  | app C09A INIBIDORES ACE PUROS
POSICOR SIN                    | esp. C10C REGUL DE LIPIDEOS EM COMB C OUT LIP | app C10A9 DEMAIS REGULADORES DE COLESTEROL E TRIGLICERIDES
TINIDAZOL PRD                  | esp. G01A TRICOMONICIDAS                      | app J01X9 TODOS OUTROS ANTI BACTERIANOS
OSTE K2                        | esp. A12A CALCIO                              | app VITAMINA OUTRO
MINOXIDIL ACH                  | esp. D11A OUTRAS PREPARACOES DERMATOLOGICAS I | app C02A2 ANTIHIPERTENSIVOS PUROS DE ACAO PERIFERICA
TYFLEN                         | esp. M01A ANTI REUMATICOS SEM ESTEROIDES      | app N02B NAO NARCOTICOS ANTIPIRETICOS
DOLOMITA HEM                   | esp. A12A CALCIO                              | app VITAMINA OUTRO
VORTIOXETINA                   | esp. N06A A DEPRESSIVOS E REGUL DE HUMOR      | app N05A1 ANTIPSICOTICOS ATIPICOS
CALMADOR                       | esp. M02A ANTIREUMATICOS TOPICOS COM ANALGESI | app N02B NAO NARCOTICOS ANTIPIRETICOS
NATZ KIDS                      | esp. R05B ANTIGRIPAIS C ANTIINFECCIOSOS       | app ROUPA INFANTIL
TARGUS BAG                     | esp. M01A ANTI REUMATICOS SEM ESTEROIDES      | app S01R ANTIINFLAMATORIOS OFTALMOLOGICOS NAO ESTEROIDES
FLUOCINOLONA ACET POLIMIXINA B NEOM LIDOC GEO | esp. S02C ASSOCIACOES DE ANTINFECCIOSOS E COR | app J01X9 TODOS OUTROS ANTI BACTERIANOS
AUGEVIT                        | esp. A11F VITAMINAS B12 PURA                  | app MULTIVITAMINICO
MOTILEX                        | esp. A12C OUTROS SUPLEMENTOS MINERAIS         | app VITAMINA OUTRO
ATENOLOL VTM                   | esp. C02A ANTIHIPERTENSIVOS NAO HERBACEOS PUR | app C07A AGENTES BETA BLOQUEADORES PUROS
WARYZ CIM                      | esp. B01A ANTICOAGULANTES NAO INJETAVEIS      | app C05B TERAPIA VARICOSA TOPICA
VENOVAZ                        | esp. B01A ANTICOAGULANTES NAO INJETAVEIS      | app C05C TERAPIA VARICOSA SISTEMICA
TARTARATO DE METOPROLOL BIO    | esp. C09C ANTAGONISTAS DE LA ANGIOTENSINA II  | app C07A AGENTES BETA BLOQUEADORES PUROS
GRUNENTHAL                     | esp. G03A CONTRACEPTIVOS HORMONAIS SISTEMICOS | app OUTRA CATEGORIA
CLOR DE DORZOLAMIDA GEO        | esp. N07D PRODUTOS ANTI ALZHEIMER             | app S01E2 TOPICOS OFTALMOLOGICOS ANTIGLAUCOMA
CALCIPLEX                      | esp. A12A CALCIO                              | app VITAMINA OUTRO
MEGA CALCIO ARO                | esp. A12A CALCIO                              | app VITAMINA OUTRO
HERVAS BRASIL HRB              | esp. R05C EXPECTORANTES                       | app OUTRA CATEGORIA
TOBRAMICINA LEG                | esp. S01A ANTINFECCIOSOS                      | app J01K AMINOGLICOSIDEOS
CIPROTERONA CIF                | esp. D10B PREPARACOES ANTIACNE ORAIS          | app G02F HORMONIOS SEXUAIS TOPICOS
DIFFUCAP DIF                   | esp. C08B ANTAGONISTAS DO CALCIO ASSOCIADOS   | app OUTRA CATEGORIA
PRAMIPEXOL SDZ                 | esp. N06A A DEPRESSIVOS E REGUL DE HUMOR      | app N04A ANTIPARKINSONIANOS
FORHELTH                       | esp. R05C EXPECTORANTES                       | app OUTRA CATEGORIA
NUTRIFY                        | esp. A12C OUTROS SUPLEMENTOS MINERAIS         | app OUTRA CATEGORIA
SUCCINATO DE SOLIFENACINA NVQ  | esp. C06B PRODUTOS PARA HIPERTENSAO ARTERIAL  | app G04D4 PRODUTOS PARA INCONTINENCIA URINARIA
THERAPI                        | esp. A01A ESTOMATOLOGICOS                     | app OUTRA CATEGORIA
ARESE                          | esp. N02A ANALGESICOS NARCOTICOS              | app OUTRA CATEGORIA
LACRIBELL CRI                  | esp. S01X OUTROS OFTALMOLOGICOS               | app S01K1 LAGRIMAS ARTIFICIAIS E LUBRIFICANTES OCULARES
BRASTERAPICA                   | esp. A06A DROGAS PARA A CONSTIPACAO           | app OUTRA CATEGORIA
ASTELLAS AST                   | esp. L02B ANTAGONISTAS DE HORMONIOS CITOSTATI | app OUTRA CATEGORIA
MALACAL SPORT BRS              | esp. A11A POLIVITAMINICOS COM MINERAIS        | app VITAMINA OUTRO
BORG ASS                       | esp. A12C OUTROS SUPLEMENTOS MINERAIS         | app VITAMINA OUTRO
4 FLEX                         | esp. A12C OUTROS SUPLEMENTOS MINERAIS         | app VITAMINA OUTRO
PRATIC                         | esp. M01A ANTI REUMATICOS SEM ESTEROIDES      | app OUTRA CATEGORIA
OXIPELLE                       | esp. D11A OUTRAS PREPARACOES DERMATOLOGICAS I | app D01A1 ANTIFUNGICOS DERMATOLOGICOS TOPICOS
ROHYPNOL                       | esp. N05B HIPNOTICOS SEDATIVOS                | app N05C TRANQUILIZANTES
RESSALIV PRE                   | esp. A02A ANTIACIDOS ANTIFISETICOS            | app A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES
MOTILEX APS                    | esp. A12C OUTROS SUPLEMENTOS MINERAIS         | app VITAMINA OUTRO
CALCIO D3                      | esp. A12A CALCIO                              | app VITAMINA OUTRO
CETROTIDE                      | esp. G03A CONTRACEPTIVOS HORMONAIS SISTEMICOS | app H01C HORMONIOS HIPOTALAMICAS
OPTI                           | esp. S01L PREPARADOS PARA USO COM LENTES DE C | app S01G3 ANTIALERGICOS OFTALMICOS DE ACAO MULTIPLA
OPDIVO                         | esp. L01X OUTROS ANTINEOPLASICOS              | app L01G5 ANTICORPOS MONO ANTINEO PD 1 PD L1
FINASTERIDA MUL                | esp. D11A OUTRAS PREPARACOES DERMATOLOGICAS I | app G04C3 INIBIDORES DA TESTOSTERONA 5 ALFAREDUCTASA SIMPLES
EFURIX                         | esp. D11A OUTRAS PREPARACOES DERMATOLOGICAS I | app L01X9 TODOS OUTROS ANTINEOPLASICOS
