barcode;descriptions
7800000000000;"{""+ DIAMOX 250MG 30CPR   UNIA %DN:0.00""}"
7800000000001;"{""ACECLOFENACO 10""}"
7800000000002;"{""ACECLOFENACO 100MG 12 CPR EMS""}"
7800000000003;"{""ACECLOFENACO 100MG C/12CPR CIMED""}"
7800000000004;"{""ACECLOFENACO 100MG C/12CPR EMS""}"
7800000000005;"{""ACECLOFENACO 100MG C/12CPR GERMED""}"
7800000000006;"{""ACECLOFENACO 100MG C/12CPR NOVA QUIMICA""}"
7800000000007;"{""ACECLOFENACO 100MG C/12CPR RANBAXY""}"
7800000000008;"{""ACECLOFENACO 100MG C/12CPR VITAMEDIC""}"
7800000000009;"{""ACECLOFENACO 100MG C/12CPR ZYDUS""}"
7800000000010;"{""ACECLOFENACO CIMEDC/12 CPR REV 100MG GEN""}"
7800000000011;"{""ACECLOFENACO EMSC/12 CPR REV 100MG GEN""}"
7800000000012;"{""ACECLOFENACO EUROC/12 CPR REV 100MG GEN""}"
7800000000013;"{""ACECLOFENACO GERMEDC/24 CPR REV 100MG GEN""}"
7800000000014;"{""ACECLOFENACO RANBAXYC/12 CPR REV 100MG GEN""}"
7800000000015;"{""ACECLOFENACO RANBAXYC/24 CPR REV 100MG GEN""}"
7800000000016;"{""ACECLOFENACO VITAMEDICC/12 CPR REV 100MG GEN""}"
7800000000017;"{""ACICLOVIR 200MG C/25 CPR SANDOZ""}"
7800000000018;"{""ACICLOVIR 200MG C/25CPR MERCK""}"
7800000000019;"{""ACICLOVIR 400MG 30 CPR MER""}"
7800000000020;"{""ACICLOVIR 400MG C/30CPR MERCK""}"
7800000000021;"{""ACICLOVIR EMSC/30 CPR 400MG GEN""}"
7800000000022;"{""ACICLOVIR EUROC/25 CPR 200MG GEN""}"
7800000000023;"{""ACICLOVIR MERCKC/25 CPR 200MG GEN""}"
7800000000024;"{""ACICLOVIR MERCKC/30 CPR 200MG GEN""}"
7800000000025;"{""ACICLOVIR MERCKC/30 CPR 400MG GEN""}"
7800000000026;"{""ACICLOVIR NOVARTISC/30 CPR 400MG GEN""}"
