+ DIAMOX 250MG 30CPR UNIA %DN:0.00           | SISTEMICOS                         | DIAMOX         | UNIAO QUIMICA    | 30UN | DIAMOX UNIA DN 250MG 30CPRS
ACECLOFENACO 10                              | ANTI REUMATICOS NAO ESTEROIDAIS PU | ACECLOFENACO   | EMS PHARMA       | 1UN | ACECLOFENACO 1UN
ACECLOFENACO 100MG 12 CPR EMS                | ANTI REUMATICOS NAO ESTEROIDAIS PU | ACECLOFENACO   | EMS PHARMA       | 12UN | ACECLOFENACO 100MG 12CPRS
ACECLOFENACO 100MG C/12CPR CIMED             | ANTI REUMATICOS NAO ESTEROIDAIS PU | ACECLOFENACO   | CIMED            | 12UN | ACECLOFENACO 100MG 12CPRS
ACECLOFENACO 100MG C/12CPR EMS               | ANTI REUMATICOS NAO ESTEROIDAIS PU | ACECLOFENACO   | EMS PHARMA       | 12UN | ACECLOFENACO 100MG 12CPRS
ACECLOFENACO 100MG C/12CPR GERMED            | ANTI REUMATICOS NAO ESTEROIDAIS PU | ACECLOFENACO   | EMS PHARMA       | 12UN | ACECLOFENACO 100MG 12CPRS
ACECLOFENACO 100MG C/12CPR NOVA QUIMICA      | ANTI REUMATICOS NAO ESTEROIDAIS PU | ACECLOFENACO   | EMS PHARMA       | 12UN | ACECLOFENACO 100MG 12CPRS
ACECLOFENACO 100MG C/12CPR RANBAXY           | ANTI REUMATICOS NAO ESTEROIDAIS PU | ACECLOFENACO   | RANBAXY          | 12UN | ACECLOFENACO 100MG 12CPRS
ACECLOFENACO 100MG C/12CPR VITAMEDIC         | ANTI REUMATICOS NAO ESTEROIDAIS PU | ACECLOFENACO   | VITAMEDIC        | 12UN | ACECLOFENACO 100MG 12CPRS
ACECLOFENACO 100MG C/12CPR ZYDUS             | ANTI REUMATICOS NAO ESTEROIDAIS PU | ACECLOFENACO   | ZYDUS BRASIL     | 12UN | ACECLOFENACO 100MG 12CPRS
ACECLOFENACO CIMED C/12 CPR REV 100MG GEN    | ANTI REUMATICOS NAO ESTEROIDAIS PU | ACECLOFENACO   | CIMED            | 12UN | ACECLOFENACO REVESTIDO 100MG 12CPRS
ACECLOFENACO EMS C/12 CPR REV 100MG GEN      | ANTI REUMATICOS NAO ESTEROIDAIS PU | ACECLOFENACO   | EMS PHARMA       | 12UN | ACECLOFENACO REVESTIDO 100MG 12CPRS
ACECLOFENACO EURO C/12 CPR REV 100MG GEN     | ANTI REUMATICOS NAO ESTEROIDAIS PU | ACECLOFENACO   | EUROFARMA        | 12UN | ACECLOFENACO REVESTIDO 100MG 12CPRS
ACECLOFENACO GERMED C/24 CPR REV 100MG GEN   | ANTI REUMATICOS NAO ESTEROIDAIS PU | ACECLOFENACO   | EMS PHARMA       | 24UN | ACECLOFENACO REVESTIDO 100MG 24CPRS
ACECLOFENACO RANBAXY C/12 CPR REV 100MG GEN  | ANTI REUMATICOS NAO ESTEROIDAIS PU | ACECLOFENACO   | RANBAXY          | 12UN | ACECLOFENACO REVESTIDO 100MG 12CPRS
ACECLOFENACO RANBAXY C/24 CPR REV 100MG GEN  | ANTI REUMATICOS NAO ESTEROIDAIS PU | ACECLOFENACO   | RANBAXY          | 24UN | ACECLOFENACO REVESTIDO 100MG 24CPRS
ACECLOFENACO VITAMEDIC C/12 CPR REV 100MG GE | ANTI REUMATICOS NAO ESTEROIDAIS PU | ACECLOFENACO   | VITAMEDIC        | 12UN | ACECLOFENACO REVESTIDO 100MG 12CPRS
ACICLOVIR 200MG C/25 CPR SANDOZ              | J05B3 ANTIVIRAL PARA HERPES        | ACICLOVIR      | SANDOZ           | 25UN | ACICLOVIR 200MG 25CPRS
ACICLOVIR 200MG C/25CPR MERCK                | J05B3 ANTIVIRAL PARA HERPES        | ACICLOVIR      | MERCK            | 25UN | ACICLOVIR 200MG 25CPRS
ACICLOVIR 400MG 30 CPR MER                   | J05B3 ANTIVIRAL PARA HERPES        | ACICLOVIR      | MERCK            | 30UN | ACICLOVIR 400MG 30CPRS
ACICLOVIR 400MG C/30CPR MERCK                | J05B3 ANTIVIRAL PARA HERPES        | ACICLOVIR      | MERCK            | 30UN | ACICLOVIR 400MG 30CPRS
ACICLOVIR EMS C/30 CPR 400MG GEN             | J05B3 ANTIVIRAL PARA HERPES        | ACICLOVIR      | EMS PHARMA       | 30UN | ACICLOVIR 400MG 30CPRS
ACICLOVIR EURO C/25 CPR 200MG GEN            | J05B3 ANTIVIRAL PARA HERPES        | ACICLOVIR      | EUROFARMA        | 25UN | ACICLOVIR 200MG 25CPRS
ACICLOVIR MERCK C/25 CPR 200MG GEN           | J05B3 ANTIVIRAL PARA HERPES        | ACICLOVIR      | MERCK            | 25UN | ACICLOVIR 200MG 25CPRS
ACICLOVIR MERCK C/30 CPR 200MG GEN           | J05B3 ANTIVIRAL PARA HERPES        | ACICLOVIR      | MERCK            | 30UN | ACICLOVIR 200MG 30CPRS
ACICLOVIR MERCK C/30 CPR 400MG GEN           | J05B3 ANTIVIRAL PARA HERPES        | ACICLOVIR      | MERCK            | 30UN | ACICLOVIR 400MG 30CPRS
ACICLOVIR NOVARTIS C/30 CPR 400MG GEN        | J05B3 ANTIVIRAL PARA HERPES        | ACICLOVIR      | NOVARTIS         | 30UN | ACICLOVIR 400MG 30CPRS
ACICLOVIR SANDOZ C/50 CPR 200MG GEN          | J05B3 ANTIVIRAL PARA HERPES        | ACICLOVIR      | SANDOZ           | 50UN | ACICLOVIR 200MG 50CPRS
ACICLOVIR SANDOZ C/60 CPR 400MG GEN          | J05B3 ANTIVIRAL PARA HERPES        | ACICLOVIR      | SANDOZ           | 60UN | ACICLOVIR 400MG 60CPRS
ADEFORTE 3ML SOL ORAL                        | A11B4 OUTROS POLIVITAMINICOS PUROS | ADEFORTE       | GROSS            | 3ML | SUPL ALIM POLIV ADEFORTE SOLUCAO ORAL 3ML
AGLUCOSE C/30 CPR 100MG                      | A10L INIB ALFA GLUCOSIDAS          | AGLUCOSE       | EMS PHARMA       | 30UN | AGLUCOSE 100MG 30CPRS
AGLUCOSE C/30 CPR 50MG                       | A10L INIB ALFA GLUCOSIDAS          | AGLUCOSE       | EMS PHARMA       | 30UN | AGLUCOSE 50MG 30CPRS
BAYCUTEN N CR 40 GR                          | D07B ASSOCIACOES DE CORTICOIDES    | BAYCUTEN       | BAYER            | 40G | BAYCUTEN CREME 40G
BAYCUTEN N 40GR CR 10+0,4MG                  | D07B ASSOCIACOES DE CORTICOIDES    | BAYCUTEN       | BAYER            | 40G | BAYCUTEN CREME 10+0.4MG 40G
CELESTONE SOLUSPAN 1ML SUSP INJ 3+3MG/ML     | H02A CORTICOSTEROIDES PUROS        | CELESTONE      | HYPERA PHARMA    | 1ML | CELESTONE SOLUSPAN SUSPENSAO INJETAVEL 3+3MG/ML 1ML
CIPROTERONA BERGAMO C/20 CPR 50MG GEN        | G02F HORMONIOS SEXUAIS TOPICOS     | CIPROTERONA    | BERGAMO          | 20UN | CIPROTERONA 50MG 20CPRS
CLOTRIMAZOL+DEXAMETASONA CR 40G GERMED       | D07A CORTICOIDES TOPICOS PUROS     | DEXAMETASONA   | EMS PHARMA       | 40G | DEXAMETASONA CLOTRIMAZOL CREME 40G
D T N FOLICO 90CPR                           | OUTRA CATEGORIA                    | OUTRA MARCA    | OUTRO FABRICANTE | 90UN | FOLICO CPR 90UN
DAMATER C/30 CAPS                            | A11A4 OUTROS POLIVIT COM MINERAIS  | DAMATER        | OUTRO FABRICANTE | 30UN | SUPL ALIM POLIV DAMATER 30CAPS
DDAVP C/30 CPR 0,1MG                         | H04D HORMONIOS ANTIDIURETICOS      | DDAVP          | FERRING          | 30UN | DDAVP 0.1MG 30CPRS
DDAVP C/30 CPR 0,2MG                         | H04D HORMONIOS ANTIDIURETICOS      | DDAVP          | FERRING          | 30UN | DDAVP 0.2MG 30CPRS
DEXAMETASONA CREME 10G GEOLAB                | D07A CORTICOIDES TOPICOS PUROS     | DEXAMETASONA   | GEOLAB           | 10G | DEXAMETASONA CREME 10G
DIAMOX 250MG 25 CPR                          | SISTEMICOS                         | DIAMOX         | UNIAO QUIMICA    | 25UN | DIAMOX 250MG 25CPRS
DIAMOX 250MG 25CPR GENOM                     | SISTEMICOS                         | DIAMOX         | GENOM            | 25UN | DIAMOX 250MG 25CPRS
DIAMOX C/25 CPR 250MG                        | SISTEMICOS                         | DIAMOX         | UNIAO QUIMICA    | 25UN | DIAMOX 250MG 25CPRS
DIAMOX C/30 CPR 250MG                        | SISTEMICOS                         | DIAMOX         | UNIAO QUIMICA    | 30UN | DIAMOX 250MG 30CPRS
DTN-FOL C/90 CAPS 400MCG+10MG                | B03X OUTROS ANTIANEMICOS INCLUINDO | DTN            | OUTRO FABRICANTE | 90UN | DTN FOL 400MCG+10MG 90CAPS
EMAMA C/30 CAPS 400MG                        | VITAMINA OUTRO                     | EMAMA          | OUTRO FABRICANTE | 30UN | SUPL ALIM EMAMA 400MG 30CAPS
ENVID C/30 CAPS 800MCG+20MG                  | A11X9 TODAS OUTRAS VITAMINAS PURAS | OUTRA MARCA    | OUTRO FABRICANTE | 30UN | SUPL ALIM ENVID 800MCG+20MG 30CAPS
EPHYNAL C/30 CAPS 400MG                      | VITAMINA OUTRO                     | OUTRA MARCA    | OUTRO FABRICANTE | 30UN | SUPL ALIM EPHYNAL 400MG 30CAPS
FEMIGESTROL C/30 CPR 160MG                   | L02A HORMONIOS CITOSTATICOS        | FEMIGESTROL    | BERGAMO          | 30UN | FEMIGESTROL 160MG 30CPRS
FLORATE COL 5 ML                             | S01B CORTICOIDES                   | FLORATE        | NOVARTIS         | 5ML | FLORATE COLIRIO 5ML
FLUIMUCIL 600MG C/16 CPR EFERV               | R05C EXPECTORANTES                 | FLUIMUCIL      | ZAMBON           | 16UN | FLUIMUCIL EFERVESCENTE 600MG 16CPRS
FLUIMUCIL SOL NASAL 20 ML                    | R05C EXPECTORANTES                 | FLUIMUCIL      | ZAMBON           | 20ML | FLUIMUCIL SOLUCAO NASAL 20ML
FLUIMUCIL 20ML SOL NAS 11,5MG/ML             | R05C EXPECTORANTES                 | FLUIMUCIL      | ZAMBON           | 20ML | FLUIMUCIL SOLUCAO NAS 11.5MG/ML 20ML
FLUIMUCIL C/16 CPR EFERV 200MG               | R05C EXPECTORANTES                 | FLUIMUCIL      | ZAMBON           | 16UN | FLUIMUCIL EFERVESCENTE 200MG 16CPRS
FLUIMUCIL C/16 CPR EFERV 600MG               | R05C EXPECTORANTES                 | FLUIMUCIL      | ZAMBON           | 16UN | FLUIMUCIL EFERVESCENTE 600MG 16CPRS
FLUIMUCIL C/60 CPR EFERV 600MG               | R05C EXPECTORANTES                 | FLUIMUCIL      | ZAMBON           | 60UN | FLUIMUCIL EFERVESCENTE 600MG 60CPRS
HERPESIL C/25 CPR 200MG                      | J05B3 ANTIVIRAL PARA HERPES        | HERPESIL       | SANDOZ           | 25UN | HERPESIL 200MG 25CPRS
LECTRUM 1,5ML PO LIOF+SOL DIL 3,75MG         | L02A HORMONIOS CITOSTATICOS        | LECTRUM        | SANDOZ           | 1.5ML | LECTRUM LIOFILIZADO SOLUCAO 3.75MG 1.5ML
NATIFA PRO 1MG / 0,5MG 28 CPR                | G03F ASSOCIACOES DE ESTROGENOS E P | NATIFA         | LIBBS FARMACEUTI | 28UN | NATIFA PRO 1MG+0.5MG 28CPRS
NATIFA PRO C/28                              | G03F ASSOCIACOES DE ESTROGENOS E P | NATIFA         | LIBBS FARMACEUTI | 28UN | NATIFA PRO 28UN
NATIFA PRO UBD 28CPR                         | G03F ASSOCIACOES DE ESTROGENOS E P | NATIFA         | LIBBS FARMACEUTI | 28UN | NATIFA PRO UBD 28CPRS
NATIFA PRO UBD C/28 CPR REV 0,5+0,1MG        | G03F ASSOCIACOES DE ESTROGENOS E P | NATIFA         | LIBBS FARMACEUTI | 28UN | NATIFA PRO UBD REVESTIDO 0.5+0.1MG 28CPRS
NATIFA PRO C/28 CPR REV 1+0,5MG              | G03F ASSOCIACOES DE ESTROGENOS E P | NATIFA         | LIBBS FARMACEUTI | 28UN | NATIFA PRO REVESTIDO 1+0.5MG 28CPRS
PRED MILD 10ML COLI 0,12%                    | S01B CORTICOIDES                   | PRED           | ALLERGAN         | 10ML | PRED MILD COLIRIO 0.12% 10ML
PRIMOLUT NOR 10C/30 CPR 10MG                 | G03D PROGESTOGENOS E ASSOCIACOES E | PRIMOLUT NOR   | UNIAO QUIMICA    | 30UN | PRIMOLUT NOR 10MG 30CPRS
PRIMOSISTON 30CPR BAYER                      | G03F ASSOCIACOES DE ESTROGENOS E P | PRIMOSISTON    | BAYER            | 30UN | PRIMOSISTON 30CPRS
PRIMOSISTON C/30 CPR 2+0,01MG                | G03F ASSOCIACOES DE ESTROGENOS E P | PRIMOSISTON    | BAYER            | 30UN | PRIMOSISTON 2+0.01MG 30CPRS
PROFLAM 100MG 12CPR EUROFARMA                | ANTI REUMATICOS NAO ESTEROIDAIS PU | PROFLAM        | EUROFARMA        | 12UN | PROFLAM 100MG 12CPRS
PROFLAM C/12 CPR REV 100MG                   | ANTI REUMATICOS NAO ESTEROIDAIS PU | PROFLAM        | EUROFARMA        | 12UN | PROFLAM REVESTIDO 100MG 12CPRS
PROFLAN 100 MG 12 CPR                        | ANTI REUMATICOS NAO ESTEROIDAIS PU | PROFLAN        | EUROFARMA        | 12UN | PROFLAN 100MG 12CPRS
PROVERA 10MG 14CPR PFIZER                    | G03D PROGESTOGENOS E ASSOCIACOES E | PROVERA        | PFIZER           | 14UN | PROVERA 10MG 14CPRS
PROVERA C/14 CPR 10MG                        | G03D PROGESTOGENOS E ASSOCIACOES E | PROVERA        | PFIZER           | 14UN | PROVERA 10MG 14CPRS
STER MD 1,2MG/ML COL 10ML                    | S01B CORTICOIDES                   | STER           | UNIAO QUIMICA    | 10ML | STER COLIRIO 1.2MG/ML 10ML
STER MD 10ML SUSP OFT 1,2MG/ML               | S01B CORTICOIDES                   | STER           | UNIAO QUIMICA    | 10ML | STER SUSPENSAO OFTALMICO 1.2MG/ML 10ML
SUPREMA 28 CPR                               | G03F ASSOCIACOES DE ESTROGENOS E P | SUPREMA        | SOBEL            | 28UN | SUPREMA 28CPRS
