COM ENTEROGERMINA (OPE)          | marca ENTEROGERMINA          (esp. ENTEROGERMINA (OPE)) | fab OPELLA                 (esp. OPELLA) | A07F MICROORGANISMOS ANTIDIARREICOS | ENTEROGERMINA OPE 10MG 30CPRS
COM MOBILITY OSCAL D (OPE)       | marca MOBILITY OSCAL D       (esp. MOBILITY OSCAL D (OPE)) | fab OPELLA                 (esp. OPELLA) | A12A CALCIO | MOBILITY OSCAL D OPE 10MG 30CPRS
COM MOBILITY OSCAL (OPE)         | marca MOBILITY OSCAL         (esp. MOBILITY OSCAL (OPE)) | fab OPELLA                 (esp. OPELLA) | A12A CALCIO | MOBILITY OSCAL OPE 10MG 30CPRS
COM NEO B EUR                    | marca NEO B                  (esp. NEO B) | fab EUROFARMA              (esp. MIDWAY LABS) | A11D4 VITAMINA B1 ASSOC VIT B6 OU B12 | SUPL ALIM NEO B 10MG 30CPRS
COM SONRIDOR GSK                 | marca SONRIDOR               (esp. SONRIDOR) | fab GSK                    (esp. HALEON) | A02A4 ANTIACIDOS COM ANTIFISETICOS | SONRIDOR 10MG 30CPRS
COM MYRALIS MYR                  | marca MYRALIS                (esp. MYRALIS) | fab MYRALIS PHARMA         (esp. MYRALIS PHARMA) | OUTRA CATEGORIA | COMP MYRALIS COMPOSTO MYR 30UN
COM DULCOLAX (OPE)               | marca DULCOLAX               (esp. DULCOLAX (OPE)) | fab OPELLA                 (esp. OPELLA) | A06A2 LAXANTES ESTIMULANTES | DULCOLAX OPE 10MG 30CPRS
COM CULTURELLE CEL               | marca CULTURELLE             (esp. CULTURELLE) | fab CELLERA FARMA          (esp. EMS PHARMA) | A07F MICROORGANISMOS ANTIDIARREICOS | CULTURELLE 10MG 30CPRS
COM NIMEGON MET SPR              | marca NIMEGON                (esp. NIMEGON MET) | fab SUPERA                 (esp. SUPERA) | A10N3 INIB DPP IV E BIGUANIDAS COMB A DIABETICOS | NIMEGON MET 10MG 30CPRS
COM SITGLU MET GER               | marca SITGLU                 (esp. SITGLU MET) | fab EMS PHARMA             (esp. EMS PHARMA) | A10N1 INIBIDOR DPP IV SOLO | SITGLU MET 10MG 30CPRS
COM Por Defecto                  | marca Por Defecto            (esp. Por Defecto) | fab OUTRO FABRICANTE       (esp. PRATI DONADUZZI) | A02B1 ANTAGONISTAS H2 | POR DEFECTO 10MG 30CPRS
COM GLINK MET LIB                | marca GLINK                  (esp. GLINK MET) | fab LIBBS FARMACEUTICA     (esp. LIBBS FARMACEUTICA) | A10N3 INIB DPP IV E BIGUANIDAS COMB A DIABETICOS | GLINK MET 10MG 30CPRS
COM REHIDRAT EUR                 | marca REHIDRAT               (esp. REHIDRAT) | fab EUROFARMA              (esp. SUPERA) | A07G REPOSITORES ELECTROLITICOS ORAIS | REHIDRAT 10MG 30CPRS
