barcode;descriptions
7899000000001;"{""MOUNJARO 10MG 30 COMP ELI""}"
7899000000002;"{""WEGOVY 10MG 30 COMP NND""}"
7899000000003;"{""FORXIGA 10MG 30 COMP AZN""}"
7899000000004;"{""OZEMPIC 10MG 30 COMP NND""}"
7899000000005;"{""GLIFAGE 10MG 30 COMP MER""}"
7899000000006;"{""RYBELSUS 10MG 30 COMP NND""}"
7899000000007;"{""XIGDUO 10MG 30 COMP AZN""}"
7899000000008;"{""JARDIANCE 10MG 30 COMP BOE""}"
7899000000009;"{""GLYXAMBI 10MG 30 COMP BOE""}"
7899000000010;"{""POVIZTRA 10MG 30 COMP NND""}"
7899000000011;"{""DEXILANT 10MG 30 COMP TKD""}"
7899000000012;"{""INZELM 10MG 30 COMP TKD""}"
7899000000013;"{""ENTEROGERMINA (OPE) 10MG 30 COMP ""}"
7899000000014;"{""ENO 10MG 30 COMP HAL""}"
7899000000015;"{""BUSCOPAN 10MG 30 COMP HYP""}"
7899000000016;"{""EDISTRIDE 10MG 30 COMP ACH""}"
7899000000017;"{""LUFTAL 10MG 30 COMP RB""}"
7899000000018;"{""CLOR DE METFORMINA 10MG 30 COMP PRD""}"
7899000000019;"{""NESINA 10MG 30 COMP HYP""}"
7899000000020;"{""VONAU 10MG 30 COMP BIO""}"
7899000000021;"{""DRAMIN 10MG 30 COMP HYP""}"
7899000000022;"{""EPOCLER 10MG 30 COMP HYP""}"
7899000000023;"{""OZIVY 10MG 30 COMP EMS""}"
7899000000024;"{""REPOFLOR 10MG 30 COMP LEG""}"
7899000000025;"{""TAMARINE 10MG 30 COMP HYP""}"
7899000000026;"{""XULTOPHY 10MG 30 COMP NND""}"
7899000000027;"{""LANTUS 10MG 30 COMP SNF""}"
7899000000028;"{""TRESIBA 10MG 30 COMP NND""}"
7899000000029;"{""FLORATIL 10MG 30 COMP FRQ""}"
7899000000030;"{""DAPAGLIFLOZINA 10MG 30 COMP EMS""}"
7899000000031;"{""INILOK 10MG 30 COMP APS""}"
7899000000032;"{""DAPAGLIFLOZINA 10MG 30 COMP MDQ""}"
7899000000033;"{""CITONEURIN P&G 10MG 30 COMP ""}"
7899000000034;"{""BASAGLAR 10MG 30 COMP ELI""}"
7899000000035;"{""SAXENDA 10MG 30 COMP NND""}"
7899000000036;"{""CONTRAVE 10MG 30 COMP MER""}"
7899000000037;"{""DAPAGLIFLOZINA 10MG 30 COMP MED""}"
7899000000038;"{""ESOMEPRAZOL 10MG 30 COMP EMS""}"
7899000000039;"{""DAPAGLIFLOZINA 10MG 30 COMP EUR""}"
7899000000040;"{""PANTOPRAZOL 10MG 30 COMP SNF""}"
7899000000041;"{""STANGLIT 10MG 30 COMP LIB""}"
7899000000042;"{""ESOGASTRO 10MG 30 COMP EMS""}"
7899000000043;"{""XANTINON 10MG 30 COMP UNI""}"
7899000000044;"{""ORLISTATE 10MG 30 COMP EMS""}"
7899000000045;"{""SUCRAFILM 10MG 30 COMP EMS""}"
7899000000046;"{""DIAMICRON 10MG 30 COMP SER""}"
7899000000047;"{""CLOR DE ONDANSETRONA 10MG 30 COMP ALT""}"
