barcode;descriptions
7898687732993;"{""DAMATER""}"
7898149934514;"{""CIPROTERONA BERGAMO""}"
7898074617612;"{""FLUIMUCIL""}"
7898074613430;"{""FLUIMUCIL""}"
7898074611276;"{""FLUIMUCIL""}"
7897595635198;"{""ACICLOVIR SANDOZ""}"
7897595604460;"{""LECTRUM""}"
7897595602503;"{""HERPESIL""}"
7897316802861;"{""PRED MILD""}"
7897076909343;"{""ACECLOFENACO RANBAXY""}"
7896658001680;"{""VITA E ACHE""}"
7896523227092;"{""ACECLOFENACO CIMED""}"
7896241265543;"{""SUPREMA""}"
7896112400554;"{""DTN-FOL""}"
7896094208506;"{""NATIFA PRO UBD""}"
7896094201477;"{""NATIFA PRO""}"
7896006290667;"{""STER MD""}"
7896006245339;"{""DIAMOX""}"
7896006245322;"{""DIAMOX""}"
7896006201731;"{""PRIMOSISTON""}"
7896006201717;"{""PRIMOLUT NOR""}"
7896004775043;"{""ACICLOVIR EMS""}"
7896004722122;"{""ACECLOFENACO EMS""}"
7891721202391;"{""ACICLOVIR MERCK""}"
7891721023484;"{""ACICLOVIR MERCK""}"
7891317411923;"{""PROFLAM""}"
7891317020002;"{""ACECLOFENACO EURO""}"
7891317014773;"{""EMAMA""}"
7891317001513;"{""ACICLOVIR EURO""}"
7891268106213;"{""PROVERA""}"
7891142128638;"{""CELESTONE SOLUSPAN""}"
7891106000956;"{""BAYCUTEN N""}"
7890282800015;"{""ADEFORTE""}"
5060632508508;"{""SYSTEN CONTI""}"
7898149932183;"{""FEMIGESTROL""}"
7898049795260;"{""ACECLOFENACO VITAMEDIC""}"
7897595639066;"{""ACICLOVIR NOVARTIS""}"
7897076909312;"{""ACECLOFENACO RANBAXY""}"
7896112116929;"{""TEUTOVIT E""}"
7894916503754;"{""AGLUCOSE""}"
7899095232372;"{""DEXAMETASONA CREME""}"
7898940658800;"{""ACECLOFENACO""}"
7897595637642;"{""ACICLOVIR""}"
7897595602626;"{""ACICLOVIR""}"
7896004722146;"{""ACECLOFENACO""}"
7896004715377;"{""CLOTRIMAZOL+DEXAMETASONA CR""}"
7895296118064;"{""ACECLOFENACO""}"
7891721023477;"{""ACICLOVIR""}"
7891106906029;"{""PRIMOSISTON""}"
7898133135606;"{""VITAMINA E NATULAB""}"
7898074616943;"{""FLUIMUCIL SOL NASAL""}"
7896548198865;"{""FLORATE COL""}"
7897595639134;"{""ACICLOVIR SANDOZ""}"
7895858017002;"{""ZZFLORINEFE""}"
7891106006149;"{""EPHYNAL""}"
7896165600055;"{""DDAVP""}"
7894916503761;"{""AGLUCOSE""}"
5060632508515;"{""SYSTEN SEQUI""}"
7896165600048;"{""DDAVP""}"
5000456057547;"{""ZZZOLADEX DEPOT""}"
7896382708442;"{""VERZENIOS""}"
7896112427032;"{""ENVID""}"
7891721202407;"{""ACICLOVIR MERCK""}"
7896269901348;"{""ZOVIRAX""}"
7896004722153;"{""ACECLOFENACO GERMED""}"
