DAMATER C/30 CAPS                            | VITAMINA OUTRO                     | DAMATER        | OUTRO FABRICANTE | 30UN | SUPL ALIM DAMATER 30CAPS
CIPROTERONA BERGAMO C/20 CPR 50MG GEN        | G02F HORMONIOS SEXUAIS TOPICOS     | CIPROTERONA    | BERGAMO          | 20UN | CIPROTERONA 50MG 20CPRS
FLUIMUCIL C/16 CPR EFERV 600MG               | R05C EXPECTORANTES                 | FLUIMUCIL      | ZAMBON           | 16UN | FLUIMUCIL EFERVESCENTE 600MG 16CPRS
FLUIMUCIL C/16 CPR EFERV 200MG               | R05C EXPECTORANTES                 | FLUIMUCIL      | ZAMBON           | 16UN | FLUIMUCIL EFERVESCENTE 200MG 16CPRS
FLUIMUCIL C/60 CPR EFERV 600MG               | R05C EXPECTORANTES                 | FLUIMUCIL      | ZAMBON           | 60UN | FLUIMUCIL EFERVESCENTE 600MG 60CPRS
ACICLOVIR SANDOZ C/50 CPR 200MG GEN          | J05B3 ANTIVIRAL PARA HERPES        | ACICLOVIR      | SANDOZ           | 50UN | ACICLOVIR 200MG 50CPRS
LECTRUM 1,5ML PO LIOF+SOL DIL 3,75MG         | L02A HORMONIOS CITOSTATICOS        | LECTRUM        | SANDOZ           | 1.5ML | LECTRUM LIOFILIZADO SOLUCAO DIL 3.75MG 1.5ML
HERPESIL C/25 CPR 200MG                      | J05B OUTROS ANTIVIRAIS             | HERPESIL       | SANDOZ           | 25UN | HERPESIL 200MG 25CPRS
PRED MILD 10ML COLI 0,12%                    | S01B CORTICOIDES                   | PRED           | ALLERGAN         | 10ML | PRED MILD COLIRIO 0.12% 10ML
ACECLOFENACO RANBAXY C/24 CPR REV 100MG GEN  | ANTI REUMATICOS NAO ESTEROIDAIS PU | ACECLOFENACO   | RANBAXY          | 24UN | ACECLOFENACO REVESTIDO 100MG 24CPRS
VITA E ACHE C/30 CAPS 400MG                  | VITAMINA OUTRO                     | VITA E         | ACHE LABORATORIO | 30UN | SUPL ALIM VITA E 400MG 30CAPS
ACECLOFENACO CIMED C/12 CPR REV 100MG GEN    | ANTI REUMATICOS NAO ESTEROIDAIS PU | ACECLOFENACO   | CIMED            | 12UN | ACECLOFENACO 100MG 12CPRS
SUPREMA C/28 CPR REV 2+1MG                   | OUTRA CATEGORIA                    | SUPREMA        | SOBEL            | 28UN | CPR SUPREMA 28UN
DTN-FOL C/90 CAPS 400MCG+10MG                | VITAMINA OUTRO                     | OUTRA MARCA    | OUTRO FABRICANTE | 90UN | SUPL ALIM DTN FOL 400MCG+10MG 90CAPS
NATIFA PRO UBD C/28 CPR REV 0,5+0,1MG        | G03C ESTROGENOS E ASSOCIACOES EXCE | NATIFA         | LIBBS FARMACEUTI | 28UN | NATIFA PRO UBD 0.5+0.1MG 28CPRS
NATIFA PRO C/28 CPR REV 1+0,5MG              | G03C ESTROGENOS E ASSOCIACOES EXCE | NATIFA         | LIBBS FARMACEUTI | 28UN | NATIFA PRO 1+0.5MG 28CPRS
STER MD 1,2MG/ML COL 10ML                    | OUTRA CATEGORIA                    | STER           | UNIAO QUIMICA    | 10ML | COL STER MG 10ML
DIAMOX C/30 CPR 250MG                        | SISTEMICOS                         | DIAMOX         | UNIAO QUIMICA    | 30UN | DIAMOX 250MG 30CPRS
DIAMOX C/25 CPR 250MG                        | SISTEMICOS                         | DIAMOX         | GENOM            | 25UN | DIAMOX 250MG 25CPRS
PRIMOSISTON C/30 CPR 2+0,01MG                | G03A5 PROGESTAGENOS ORAIS PUROS    | PRIMOSISTON    | BAYER            | 30UN | PRIMOSISTON 2+0.01MG 30CPRS
PRIMOLUT NOR 10C/30 CPR 10MG                 | G03A5 PROGESTAGENOS ORAIS PUROS    | PRIMOLUT NOR   | UNIAO QUIMICA    | 30UN | PRIMOLUT NOR 10MG 30CPRS
ACICLOVIR EMS C/30 CPR 400MG GEN             | J05B3 ANTIVIRAL PARA HERPES        | ACICLOVIR      | EMS PHARMA       | 30UN | ACICLOVIR 400MG 30CPRS
ACECLOFENACO EMS C/12 CPR REV 100MG GEN      | ANTI REUMATICOS NAO ESTEROIDAIS PU | ACECLOFENACO   | EMS PHARMA       | 12UN | ACECLOFENACO 100MG 12CPRS
ACICLOVIR MERCK C/30 CPR 400MG GEN           | J05B3 ANTIVIRAL PARA HERPES        | ACICLOVIR      | MERCK            | 30UN | ACICLOVIR 400MG 30CPRS
ACICLOVIR MERCK C/30 CPR 400MG GEN           | J05B3 ANTIVIRAL PARA HERPES        | ACICLOVIR      | MERCK            | 30UN | ACICLOVIR 400MG 30CPRS
PROFLAM C/12 CPR REV 100MG                   | ANTI REUMATICOS NAO ESTEROIDAIS PU | PROFLAM        | EUROFARMA        | 12UN | PROFLAM 100MG 12CPRS
ACECLOFENACO EURO C/12 CPR REV 100MG GEN     | ANTI REUMATICOS NAO ESTEROIDAIS PU | ACECLOFENACO   | EUROFARMA        | 12UN | ACECLOFENACO REVESTIDO 100MG 12CPRS
EMAMA C/30 CAPS 400MG                        | VITAMINA OUTRO                     | EMAMA          | OUTRO FABRICANTE | 30UN | SUPL ALIM EMAMA 400MG 30CAPS
ACICLOVIR EURO C/25 CPR 200MG GEN            | J05B3 ANTIVIRAL PARA HERPES        | ACICLOVIR      | EUROFARMA        | 25UN | ACICLOVIR 200MG 25CPRS
PROVERA C/14 CPR 10MG                        | G03A5 PROGESTAGENOS ORAIS PUROS    | PROVERA        | PFIZER           | 14UN | PROVERA 10MG 14CPRS
CELESTONE SOLUSPAN 1ML SUSP INJ 3+3MG/ML     | H02A CORTICOSTEROIDES PUROS        | CELESTONE      | HYPERA PHARMA    | 1ML | CELESTONE SOLUSPAN SUSPENSAO INJETAVEL 3+3MG/ML 1ML
BAYCUTEN N40GR CR 10+0,4MG                   | D07B ASSOCIACOES DE CORTICOIDES    | BAYCUTEN       | BAYER            | 40G | BAYCUTEN CREME 10+0.4MG 40G
ADEFORTE 3ML SOL ORAL                        | A10S AGONISTAS GLP 1               | ADEFORTE       | GROSS            | 3ML | ADEFORTE SOLUCAO ORAL 3ML
SYSTEN CONTI C/8 ADES 50+170MCG/DIA          | G03C ESTROGENOS E ASSOCIACOES EXCE | SYSTEN         | KENVUE           | 8UN | SYSTEN CONTI ADES 50+170MCG/DIA 8UN
FEMIGESTROL C/30 CPR 160MG                   | L02A HORMONIOS CITOSTATICOS        | FEMIGESTROL    | BERGAMO          | 30UN | FEMIGESTROL 160MG 30CPRS
ACECLOFENACO VITAMEDIC C/12 CPR REV 100MG GE | ANTI REUMATICOS NAO ESTEROIDAIS PU | ACECLOFENACO   | VITAMEDIC        | 12UN | ACECLOFENACO 100MG 12CPRS
ACICLOVIR NOVARTIS C/30 CPR 400MG GEN        | J05B3 ANTIVIRAL PARA HERPES        | ACICLOVIR      | NOVARTIS         | 30UN | ACICLOVIR 400MG 30CPRS
ACECLOFENACO RANBAXY C/12 CPR REV 100MG GEN  | ANTI REUMATICOS NAO ESTEROIDAIS PU | ACECLOFENACO   | RANBAXY          | 12UN | ACECLOFENACO 100MG 12CPRS
