barcode;descriptions
7820000000000;"{""ACEFLOR  COM  REV CT BL AL PLAS OPC X 24  100 MG""}"
7820000000001;"{""ACEFLOR  COM X 24  REV CT BL AL PLAS OPC  100 MG""}"
7820000000002;"{""ACEFLOR 100 MG COM X 24""}"
7820000000003;"{""ACEFLOR X 24 COM 100 MG""}"
7820000000004;"{""ACEFLOR 100MG 24 COM REV""}"
7820000000005;"{""ACEFLOR 100MG COM 24""}"
7820000000006;"{""ACEFLOR COM REV 100MG C/24""}"
7820000000007;"{""ACEFLOR 100 MG CT BL AL PLAS OPC REV X 24 COM""}"
7820000000008;"{""ACEFLOR CT BL AL PLAS OPC X 24 REV 100 MG COM""}"
7820000000009;"{""ACEFLOR COM 100 MG REV X 24 CT BL AL PLAS OPC""}"
7820000000010;"{""ACEFLOR CT BL AL PLAS OPC 100 MG COM X 24 REV""}"
7820000000011;"{""ACEFLOR REV 100 MG X 24 COM CT BL AL PLAS OPC""}"
7820000000012;"{""ACEFLOR X 24 CT BL AL PLAS OPC 100 MG REV COM""}"
7820000000013;"{""ACEFLOR COM X 24 100 MG REV CT BL AL PLAS OPC""}"
7820000000014;"{""ACEFLOR CT BL AL PLAS OPC X 24 COM 100 MG REV""}"
7820000000015;"{""ACEFLOR X 24 CT BL AL PLAS OPC REV COM 100 MG""}"
7820000000016;"{""ACEFLOR COM REV 100 MG X 24 CT BL AL PLAS OPC""}"
7820000000017;"{""ACEFLOR COM CT BL AL PLAS OPC REV X 24 100 MG""}"
7820000000018;"{""ACEFLOR CT BL AL PLAS OPC 100 MG REV X 24 COM""}"
7820000000019;"{""ACEFLOR COM 100 MG CT BL AL PLAS OPC X 24 REV""}"
7820000000020;"{""ACEFLOR CT BL AL PLAS OPC X 24 COM REV 100 MG""}"
7820000000021;"{""ACEFLOR 100 MG CT BL AL PLAS OPC COM X 24 REV""}"
7820000000022;"{""ACEFLOR REV 100 MG CT BL AL PLAS OPC X 24 COM""}"
7820000000023;"{""ACEFLOR CT BL AL PLAS OPC COM X 24 100 MG REV""}"
7820000000024;"{""ACEFLOR REV COM 100 MG X 24 CT BL AL PLAS OPC""}"
7820000000025;"{""ACEFLOR CT BL AL PLAS OPC 100 MG REV COM X 24""}"
7820000000026;"{""ACEFLOR COM REV CT BL AL PLAS OPC 100 MG X 24""}"
7820000000027;"{""ACEFLOR CT BL AL PLAS OPC X 24 100 MG COM REV""}"
7820000000028;"{""ACEFLOR 100 MG CT BL AL PLAS OPC X 24 COM REV""}"
7820000000029;"{""ACEFLOR 100 MG COM X 24 REV CT BL AL PLAS OPC""}"
7820000000030;"{""ACEFLOR CT BL AL PLAS OPC 100 MG X 24 REV COM""}"
7820000000031;"{""ACEFLOR X 24 CT BL AL PLAS OPC REV 100 MG COM""}"
