barcode,descriptions
20791544,"{""PRO VALE BIOTINA BIOTINA 30 CAPS"",""SUPL ALIM PRO VALE BIOTINA CAP 30UN""}"
20811020,"{""PRO BIOTINA 10MG 30 CAPS"",""PRO CAP BIOTINA 10MG 30CAP"",""SUPL ALIM PRO BIOTINA CAPSULA 30UN""}"
22191052,"{""VITAMINA C INJETAVEL"",""SUPL ALIM VITAMINA INJETAVEL""}"
30768000943,"{""COENZIMA Q10 SUNDOWNC/40 CPR SOFTGEL 100MG"",""Coenzima Q10 100mg Sundown Clean Nutrition Com 40 Cápsulas"",""COENZIMA Q10 100MG X 40 CPR (NES)""}"
30768000981,"{""VITAMINA D3 400UI SUNDOWN FRASCO 100 CPRS""}"
30768001896,"{""MAGNESIO SUNDOWN NATURALSC/30 CPR REV 250MG"",""MAGNESIO 250MG SUNDOWN 30 CPRS""}"
30768002862,"{""LECITINA SOJA SUNDOWNC/100 CAPS 1200MG"",""Lecitina de Soja 1200mg com 100 Cápsulas"",""LETICINA DE SOJA 1200MG SUNDOWN FRASCO 100 CPRS""}"
30768005177,"{""VIT C 500MG 100TAB SUNDOWN"",""VITAMINA C 500MG SUNDOWN 100 TABLETES""}"
30768017217,"{""VIT C SUNDOWNC/133 CPR 1000MG"",""VITAMINA C SUNDOWN 1000 MG VITA C C/ 100 CAP"",""SUNDOWN 1000MG X 100 CPR (NES)""}"
30768019525,"{""VIT C SUNDOWNC/100 CPR REV 500MG"",""SUNDOWN NATURALS VITAMINA C 500MG C/100 TAB ( UN )"",""SUNDOWN 500MG X 100 CPR (NES)""}"
30768026417,"{""VIT E SUNDOWNC/30 CAPS 400UI"",""Sundown Suplemento Alimentar Vitamina E 400 UI 30 Cápsulas"",""SUNDOWN 400IU X 30 CPR (NES)""}"
30768026424,"{""Vitamina E 1000UI Sundown Naturals com 30 Cápsulas"",""VITAMINA E SUNDOWN 1000 UI VIT E C/ 30 CAP"",""SUNDOWN 1000IU X 30 CPR (NES)""}"
30768038199,"{""FISH OIL SUNDOWNC/60 CAPS 1000MG"",""Ômega 3 Sundown Naturals Fish Oil Com 60 Cápsulas Com 1000mg"",""SUNDOWN 1000MG X 60 CPR (NES)""}"
30768038489,"{""FISH OIL SUNDOWNC/180 CAPS 1000MG"",""Ômega 3 Fish Oil 1000mg Sundown Naturals com 180 Cápsulas"",""SUNDOWN 1000MG X 180 CPR (NES)""}"
30768039042,"{""VIT C SUNDOWNC/30 CPR REV 1000MG"",""VITAMINA C SUNDOWN SUN C 1000MG C/ 30 CP"",""SUNDOWN 1000MG X 30 CPR (NES)""}"
30768043070,"{""CALCIUM SUNDOWNC/100 CPR C/MAGNESIO/ZINCO"",""Cálcio e Magnésio com Zinco Sundown Naturals com 100 Compri"",""SUNDOWN  X 100 CPR (NES)""}"
30768058296,"{""MAGNESIUM SUNDOWNC/100 CPR 250MG"",""MAGNESIO 250 MG C/100 CPS ( UN )"",""SUNDOWN 50MG X 100 CPR (NES)""}"
30768101510,"{""OMEGA SUNDOWN TRIPLE 3/6/9C/60 CAPS"",""Sundown Ômega - 3 Plus Suplemento Alimentar 60 Cápsulas"",""SUNDOWN  X 60 CPR (NES)""}"
30768101572,"{""OMEGA 3 SUNDOWN PLUSC/120 CAPS"",""DIVINA SUNDOWN TRIPLE OMEGA 3-6-9 COMPLEXO VITAMINICO 120 C"",""SUNDOWN  X 120 CPR (NES)""}"
30768112585,"{""OLEO DE LINHACA SUNDOWNC/120 CAPS 1000MG"",""Óleo De Linhaça Orgânica Sundown Naturals Com 120 Cápsulas"",""SUNDOWN 1000MG X 120 CPR (NES)""}"
30768136017,"{""LUTEINA 20MG SUNDOWN FRASCO 30 CAPSULAS""}"
30768138585,"{""FISH OIL SUNDOWNC/120 CAPS 1000MG"",""Ômega 3 Fish Oil 1000mg Sundown Naturals com 120 Cápsulas"",""SUNDOWN 1000MG X 120 CPR (NES)""}"
30768156053,"{""VIT D SUNDOWNC/200 CAPS 2000UI"",""Suplemento Alimentar Sundown Vitamina D 2.000 UI 200 Cápsul"",""SUNDOWN 2000IU X 200 CPR (NES)""}"
